GEOID,NAME,Age,estimate,approx_moe
48021950100,"Census Tract 9501, Bastrop County, Texas",55-64,67,78.33900688673555
48021950100,"Census Tract 9501, Bastrop County, Texas",65-74,31,47.01063709417264
48021950200,"Census Tract 9502, Bastrop County, Texas",55-64,393,141.35416513141735
48021950200,"Census Tract 9502, Bastrop County, Texas",65-74,317,181.10770276274835
48021950300,"Census Tract 9503, Bastrop County, Texas",55-64,163,137.03284277865654
48021950300,"Census Tract 9503, Bastrop County, Texas",65-74,49,78
48021950400,"Census Tract 9504, Bastrop County, Texas",55-64,74,56.0357029044876
48021950400,"Census Tract 9504, Bastrop County, Texas",65-74,19,30.886890422961002
48021950501,"Census Tract 9505.01, Bastrop County, Texas",55-64,191,111.83022847155415
48021950501,"Census Tract 9505.01, Bastrop County, Texas",65-74,19,42.485291572496
48021950502,"Census Tract 9505.02, Bastrop County, Texas",55-64,17,33.83784863137726
48021950502,"Census Tract 9505.02, Bastrop County, Texas",65-74,0,19
48021950600,"Census Tract 9506, Bastrop County, Texas",55-64,0,19
48021950600,"Census Tract 9506, Bastrop County, Texas",65-74,3,19.924858845171276
48021950700,"Census Tract 9507, Bastrop County, Texas",55-64,54,45.221676218380054
48021950700,"Census Tract 9507, Bastrop County, Texas",65-74,101,99.68951800465283
48021950801,"Census Tract 9508.01, Bastrop County, Texas",55-64,0,19
48021950801,"Census Tract 9508.01, Bastrop County, Texas",65-74,0,19
48021950802,"Census Tract 9508.02, Bastrop County, Texas",55-64,74,82.22530024268686
48021950802,"Census Tract 9508.02, Bastrop County, Texas",65-74,0,19
48023950300,"Census Tract 9503, Baylor County, Texas",55-64,28,26.1725046566048
48023950300,"Census Tract 9503, Baylor County, Texas",65-74,0,14
48025950100,"Census Tract 9501, Bee County, Texas",55-64,0,14
48025950100,"Census Tract 9501, Bee County, Texas",65-74,0,14
48025950201,"Census Tract 9502.01, Bee County, Texas",55-64,310,83.19855767980596
48025950201,"Census Tract 9502.01, Bee County, Texas",65-74,0,19
48025950202,"Census Tract 9502.02, Bee County, Texas",55-64,0,19
48025950202,"Census Tract 9502.02, Bee County, Texas",65-74,10,30.610455730027933
48025950300,"Census Tract 9503, Bee County, Texas",55-64,0,19
48025950300,"Census Tract 9503, Bee County, Texas",65-74,0,19
48025950400,"Census Tract 9504, Bee County, Texas",55-64,3,15.231546211727817
48025950400,"Census Tract 9504, Bee County, Texas",65-74,1,14.560219778561036
48025950500,"Census Tract 9505, Bee County, Texas",55-64,13,22.627416997969522
48025950500,"Census Tract 9505, Bee County, Texas",65-74,0,19
48025950600,"Census Tract 9506, Bee County, Texas",55-64,0,14
48025950600,"Census Tract 9506, Bee County, Texas",65-74,3,14.866068747318506
48027020100,"Census Tract 201, Bell County, Texas",55-64,0,19
48027020100,"Census Tract 201, Bell County, Texas",65-74,0,19
48027020201,"Census Tract 202.01, Bell County, Texas",55-64,0,19
48027020201,"Census Tract 202.01, Bell County, Texas",65-74,0,19
48027020202,"Census Tract 202.02, Bell County, Texas",55-64,0,19
48027020202,"Census Tract 202.02, Bell County, Texas",65-74,0,19
48027020300,"Census Tract 203, Bell County, Texas",55-64,125,114.23221962301179
48027020300,"Census Tract 203, Bell County, Texas",65-74,105,81.5659242576212
48027020401,"Census Tract 204.01, Bell County, Texas",55-64,48,31.827660925679098
48027020401,"Census Tract 204.01, Bell County, Texas",65-74,0,14
48027020402,"Census Tract 204.02, Bell County, Texas",55-64,95,68.76772498781678
48027020402,"Census Tract 204.02, Bell County, Texas",65-74,51,44.553338819890925
48027020500,"Census Tract 205, Bell County, Texas",55-64,140,114.75626344561765
48027020500,"Census Tract 205, Bell County, Texas",65-74,46,52.69724850502159
48027020600,"Census Tract 206, Bell County, Texas",55-64,14,24.413111231467404
48027020600,"Census Tract 206, Bell County, Texas",65-74,15,26.92582403567252
48027020701,"Census Tract 207.01, Bell County, Texas",55-64,100,54.405882034941776
48027020701,"Census Tract 207.01, Bell County, Texas",65-74,33,38.62641583165593
48027020702,"Census Tract 207.02, Bell County, Texas",55-64,67,44.654227123532216
48027020702,"Census Tract 207.02, Bell County, Texas",65-74,21,19.235384061671343
48027020800,"Census Tract 208, Bell County, Texas",55-64,312,95.58765610684259
48027020800,"Census Tract 208, Bell County, Texas",65-74,179,84.11896337925236
48027020900,"Census Tract 209, Bell County, Texas",55-64,92,89.27485648266257
48027020900,"Census Tract 209, Bell County, Texas",65-74,40,34.40930106817051
48027021000,"Census Tract 210, Bell County, Texas",55-64,95,49.51767361255979
48027021000,"Census Tract 210, Bell County, Texas",65-74,13,20.615528128088304
48027021100,"Census Tract 211, Bell County, Texas",55-64,136,89.47066558375433
48027021100,"Census Tract 211, Bell County, Texas",65-74,60,66.57326790837296
48027021201,"Census Tract 212.01, Bell County, Texas",55-64,61,57.723478758647246
48027021201,"Census Tract 212.01, Bell County, Texas",65-74,20,24.08318915758459
48027021202,"Census Tract 212.02, Bell County, Texas",55-64,105,58.25804665451803
48027021202,"Census Tract 212.02, Bell County, Texas",65-74,40,31.144823004794873
48027021203,"Census Tract 212.03, Bell County, Texas",55-64,53,34.713109915419565
48027021203,"Census Tract 212.03, Bell County, Texas",65-74,0,14
48027021301,"Census Tract 213.01, Bell County, Texas",55-64,48,46.22769732530488
48027021301,"Census Tract 213.01, Bell County, Texas",65-74,61,59.36328831862332
48027021302,"Census Tract 213.02, Bell County, Texas",55-64,16,25.238858928247925
48027021302,"Census Tract 213.02, Bell County, Texas",65-74,0,14
48027021303,"Census Tract 213.03, Bell County, Texas",55-64,212,134.82581355215328
48027021303,"Census Tract 213.03, Bell County, Texas",65-74,56,48.30113870293329
48027021400,"Census Tract 214, Bell County, Texas",55-64,9,19.79898987322333
48027021400,"Census Tract 214, Bell County, Texas",65-74,0,14
48027021500,"Census Tract 215, Bell County, Texas",55-64,34,45.18849411078001
48027021500,"Census Tract 215, Bell County, Texas",65-74,17,33.83784863137726
48027021601,"Census Tract 216.01, Bell County, Texas",55-64,12,26.870057685088806
48027021601,"Census Tract 216.01, Bell County, Texas",65-74,74,48.82622246293481
48027021602,"Census Tract 216.02, Bell County, Texas",55-64,0,14
48027021602,"Census Tract 216.02, Bell County, Texas",65-74,17,16.97056274847714
48027021700,"Census Tract 217, Bell County, Texas",55-64,6,24.20743687382041
48027021700,"Census Tract 217, Bell County, Texas",65-74,0,19
48027021800,"Census Tract 218, Bell County, Texas",55-64,159,105.30906893520614
48027021800,"Census Tract 218, Bell County, Texas",65-74,24,42.485291572496
48027021901,"Census Tract 219.01, Bell County, Texas",55-64,105,81.8413098624405
48027021901,"Census Tract 219.01, Bell County, Texas",65-74,34,26.92582403567252
48027021903,"Census Tract 219.03, Bell County, Texas",55-64,433,131.60547101089682
48027021903,"Census Tract 219.03, Bell County, Texas",65-74,42,48.83646178829912
48027021904,"Census Tract 219.04, Bell County, Texas",55-64,138,86.28441342444185
48027021904,"Census Tract 219.04, Bell County, Texas",65-74,62,55.54277630799526
48027022000,"Census Tract 220, Bell County, Texas",55-64,233,122.44182292011173
48027022000,"Census Tract 220, Bell County, Texas",65-74,50,47.20169488482379
48027022101,"Census Tract 221.01, Bell County, Texas",55-64,174,65.11528238439882
48027022101,"Census Tract 221.01, Bell County, Texas",65-74,24,29.154759474226502
48027022103,"Census Tract 221.03, Bell County, Texas",55-64,217,92.76313923105448
48027022103,"Census Tract 221.03, Bell County, Texas",65-74,45,46.14108798023731
48027022104,"Census Tract 221.04, Bell County, Texas",55-64,221,104.63746938836012
48027022104,"Census Tract 221.04, Bell County, Texas",65-74,195,91
48027022105,"Census Tract 221.05, Bell County, Texas",55-64,68,35.805027579936315
48027022105,"Census Tract 221.05, Bell County, Texas",65-74,69,38.01315561749642
