GEOID,pov_population,pov_population_se,pov_rate,pov_rate_se,pov_asian_rate1,pov_black_rate1,pov_latino_rate1,pov_white_rate1,pov_asian_rate2,pov_asian_rate2_se,pov_black_rate2,pov_black_rate2_se,pov_latino_rate2,pov_latino_rate2_se,pov_white_rate2,pov_white_rate2_se,median_income,median_income_se,per_capita_income,per_capita_income_se,nativity,nativity_se,pop,pop_se,api,api_se,black,black_se,latino,latino_se,white,white_se
48187210505,4153,376.8996960486322,0.1358054418492656,0.04169026988905677,NA,0.06589147286821706,0.1534440344403444,0.07465007776049767,0,0.001902898040527337,0.0040934264387189985,0.006576470616505486,0.12015410546592825,0.041479007277223034,0.011557909944618349,0.006354589487865601,51943.613333333335,7676.649780479568,20005.25777777778,2168.0432286389737,0.16343158399233165,0.040815508343983384,4173,375.0759878419453,0,0.002678206520984187,0.06470165348670022,0.02302190433025953,0.7800143781452192,0.06407794104934726,0.1552839683680805,0.03552337725426709
48187210607,8151,215.80547112462006,0.05398110661268556,0.018440574343377352,0,0,0.06671474936891453,0.05227552275522755,0,0.0013424425518490468,0,0.0013424425518490468,0.022696601643970065,0.01161897335115824,0.031284504968715494,0.011156315943850548,93027.29333333333,5573.03073286052,31506.635555555556,1995.115163796015,0.05066862961599804,0.013258213422820748,8151,215.80547112462006,0.012636486320696846,0.00683695983168154,0.03177524230155809,0.013398038994788742,0.3402036559931297,0.041087502563289434,0.5984541774015458,0.039125830892088403
48187210608,3535,305.77507598784194,0.1702970297029703,0.05835796750982679,0,0,0.32593457943925236,0.025507246376811593,0,0.0022355687587864302,0,0.0022355687587864302,0.15785007072135784,0.056675232525699615,0.012446958981612447,0.008703971706952836,62248.00000000001,3927.840594393786,22666.973333333335,2048.0108071597433,0.11428571428571428,0.03314297701099258,3535,305.77507598784194,0.005374823196605375,0.005445380286198804,0.022347949080622348,0.021236085647139656,0.4842998585572843,0.025768448324084304,0.48797736916548795,0.03895305370598828
48187210506,3332,240.12158054711247,0.17316926770708282,0.04519681410981858,1,0.43243243243243246,0.1354344122657581,0.18411734951947395,0.001800720288115246,0.002185476235948256,0.014405762304921969,0.010163971273176597,0.047719087635054024,0.019957144818384655,0.1092436974789916,0.037122703907232615,49753.77777777778,2796.6876055386697,24580.151111111114,2591.2083755488015,0.027611044417767107,0.014407564968659574,3332,240.12158054711247,0.001800720288115246,0.0032251505938374657,0.03331332533013205,0.019557130105099504,0.35234093637454983,0.06724889569253013,0.5933373349339736,0.0276163054551407
48187210507,4659,205.47112462006078,0.09401159047005796,0.03288135924350459,NA,0,0.13490504256712507,0.07508090614886731,0,0.0016962299983494377,0,0.0016962299983494377,0.04421549688774415,0.025499478235702908,0.0497960935823138,0.022203606918874602,71402.24888888889,7402.677473826411,35194.66222222222,5895.829787234044,0.08367129135538955,0.02560142407070513,4685,214.58966565349544,0,0.002385518849960942,0.009818569903948773,0.005431127037371984,0.32593383137673426,0.038605894292303336,0.6651013874066168,0.04089386130535574
48187210508,2366,186.62613981762917,0.007185122569737954,0.007429462206326709,NA,0,0.016022620169651274,0,0,0.0033401249206720333,0,0.0033401249206720333,0.007185122569737954,0.007429462206326709,0,0.0033401249206720333,78175.90222222223,13288.335021952045,26669.58666666667,2801.4346504559276,0.021555367709213864,0.010531792567670669,2366,186.62613981762917,0,0.004723649962834748,0.04015215553677092,0.03015217792198004,0.44843617920540996,0.07193702123057459,0.5114116652578191,0.04527117350771405
48187210707,3973,182.9787234042553,0.011074754593506167,0.007786745939626009,0,0,0.030352748154224774,0.0029863481228668944,0,0.0019891103856808532,0,0.0019891103856808532,0.00931286181726655,0.006258668702277378,0.0017618927762396174,0.0018343079522790216,86747.83111111111,8048.275582573455,37507.20888888889,2227.7203647416413,0.09338031714069972,0.026202466658956602,3973,182.9787234042553,0.011074754593506167,0.005402928437646153,0.08306065945129625,0.028355713032794536,0.3068210420337277,0.03849460673979821,0.5899823810722375,0.04054715648705834
48187210708,5723,259.5744680851064,0.02848156561244103,0.014921344345392842,0,0,0.04771241830065359,0.028222013170272814,0,0.0019119778507988084,0,0.0019119778507988084,0.012755547789620828,0.011882675264462891,0.0157260178228202,0.010065753970785327,101527.82666666668,4551.737926376225,33091.840000000004,1449.8831475852753,0.05672777585610515,0.012281232599028859,5782,261.39817629179333,0.012971290210999653,0.005755610481245994,0.11656866136285023,0.0359936890354749,0.26461432030439297,0.03290340637594243,0.5600138360428918,0.03185177017168997
48187210709,5053,233.43465045592706,0.04136156738571146,0.020845732526039534,0,0,0.12359550561797752,0.0256837891927952,0,0.002165495594720281,0,0.002165495594720281,0.026123095190975658,0.014868964365547178,0.0152384721947358,0.007908881646279875,104132.6488888889,6580.082404593044,35153.38666666667,1843.2097264437691,0.048218854556189725,0.011711310910591336,5081,238.29787234042553,0.06514465656366857,0.019798865145093252,0.05825624876992718,0.025938530364635237,0.21570556976973038,0.030174117288808738,0.5900413304467624,0.038309295895991385
48187210710,3369,187.8419452887538,0.0011872959335114278,5.372573076978892e-4,0,0.002976190476190476,0.002320185614849188,8.210180623973727e-4,0,0.002345721449186711,2.9682398337785694e-4,3.605005439744282e-4,2.9682398337785694e-4,3.605005439744282e-4,5.936479667557139e-4,7.210010879488564e-4,121262.00444444445,10079.33265788585,44067.79111111112,2964.190476190476,0.06183184050852355,0.01735545123916089,3461,187.2340425531915,0.04102860444958105,0.014205773903189054,0.09708176827506501,0.04306491874486782,0.13175382837330252,0.04154752457680936,0.722045651545796,0.04815060963112126
48187210711,3070,184.80243161094225,0.08827361563517916,0.0380454122878395,0.03018867924528302,0.18292682926829268,0.22670025188916876,0,0.0026058631921824105,0.002966063772604134,0.019543973941368076,0.013015857523250027,0.05863192182410423,0.03765561605666059,0,0.002574180964921834,107721.39111111112,21995.09354947653,39056.71555555556,3491.7906112799733,0.08827361563517916,0.022879947470627656,3070,184.80243161094225,0.08631921824104234,0.030758776254084196,0.10684039087947883,0.033042278256118225,0.2586319218241042,0.040473992156733536,0.5042345276872964,0.06993228354662355
48187210712,4640,213.3738601823708,0.022413793103448276,0.012009093013013743,0,0.05518763796909492,0.0045662100456621,0.022206303724928367,0,0.0017031757677392306,0.005387931034482759,0.005234680423012174,0.0010775862068965517,0.002095630535273042,0.013362068965517242,0.009938049660788302,130251.15111111112,3732.533603512327,42334.21777777778,3349.3792637622423,0.075,0.02051119049367941,4640,213.3738601823708,0.0728448275862069,0.029863108781923622,0.09762931034482758,0.029399244815256822,0.23599137931034483,0.04455205228004495,0.6017241379310345,0.03721991861425776
48187210713,4354,257.14285714285717,0.014010105649977032,0.01113886032319768,0,0,0.006691449814126394,0.024242424242424242,0,0.0018150518057671178,0,0.0018150518057671178,0.0020670647680293983,0.001810941697817043,0.011943040881947635,0.011007354368420055,95192.58666666667,6555.669030732862,30019.600000000002,1554.3181357649444,0.0730593607305936,0.021593469163282218,4380,247.41641337386017,0.03264840182648402,0.013179575387309541,0.12853881278538812,0.018917878720934294,0.3070776255707763,0.04744848832450377,0.4897260273972603,0.027883140697838073
48187210714,6287,273.5562310030395,0.028312390647367583,0.01386904648179538,0,0,0.025974025974025976,0.03754609453570231,0,0.0017404563766695688,0,0.0017404563766695688,0.010497852711945284,0.008980749232747312,0.0178145379354223,0.0097350835926134,88320.76444444444,9117.038838230328,32942.35555555556,2090.0560621411687,0.10205054840247973,0.024512143772098115,6291,273.5562310030395,0.011921793037672867,0.007435039722359696,0.09616913050389445,0.036577969491547464,0.4039103481163567,0.051285646137384205,0.4748052773803847,0.05241593558102206
48187210803,3473,254.7112462006079,0.08234955369997121,0.024651270557758696,0,0.31952662721893493,0.09574468085106383,0.05754475703324808,0,0.002275478134843084,0.03109703426432479,0.018060392997110125,0.020731356176216527,0.010037631806524302,0.03887129283040599,0.018864816838129274,67642.82666666668,6184.721377912867,30417.853333333336,3015.7298210064173,0.05638665132336018,0.023921223426843236,3476,254.7112462006079,0.0189873417721519,0.01775473901599108,0.09723820483314154,0.027420843626332667,0.2172036823935558,0.05255700662663388,0.6749136939010357,0.025816515603193334
48187210804,4002,219.45288753799392,0.07971014492753623,0.03558086430104268,NA,0,0,0.11336176261549395,0,0.0019746965423063545,0,0.0019746965423063545,0,0.0019746965423063545,0.07971014492753623,0.03558086430104268,63179.488888888896,6210.491050320838,29161.73777777778,2017.4940898345153,0.013743128435782109,0.0059235301484944665,4002,219.45288753799392,0.007246376811594203,0.005943836490055313,0.00399800099950025,0.0036389956644871106,0.2566216891554223,0.03559829518239454,0.7031484257871065,0.032268591384013924
