Year,Race,Sex,Age,Pop
2011,W,M,20-24,373258
2011,AI,F,25-29,3241
2011,API,F,25-29,47837
2011,B,F,25-29,116563
2011,W,F,25-29,382136
2011,AI,M,25-29,3175
2011,API,M,25-29,45088
2011,B,M,25-29,110992
2011,W,M,25-29,387412
2011,AI,F,30-34,3094
2011,API,F,30-34,50357
2011,B,F,30-34,116771
2011,W,F,30-34,364656
2011,AI,M,30-34,3041
2011,API,M,30-34,44483
2011,B,M,30-34,106793
2011,W,M,30-34,370199
2011,AI,F,35-39,3173
2011,API,F,35-39,53016
2011,B,F,35-39,110841
2011,W,F,35-39,351404
2011,AI,M,35-39,2968
2011,API,M,35-39,48318
2011,B,M,35-39,100069
2011,W,M,35-39,355802
2011,AI,F,40-44,3480
2011,API,F,40-44,47172
2011,B,F,40-44,111107
2011,W,F,40-44,391185
2011,AI,M,40-44,3260
2011,API,M,40-44,44559
2011,B,M,40-44,102131
2011,W,M,40-44,397090
2011,AI,F,45-49,3927
2011,API,F,45-49,39195
2011,B,F,45-49,113761
2011,W,F,45-49,431390
2011,AI,M,45-49,3639
2011,API,M,45-49,37986
2011,B,M,45-49,103811
2011,W,M,45-49,429190
2011,AI,F,50-54,4131
2011,API,F,50-54,34973
2011,B,F,50-54,109267
2011,W,F,50-54,472760
2011,AI,M,50-54,3811
2011,API,M,50-54,31454
2011,B,M,50-54,99804
2011,W,M,50-54,468492
2011,AI,F,55-59,3394
2011,API,F,55-59,30590
2011,B,F,55-59,91058
2011,W,F,55-59,440966
2011,AI,M,55-59,3297
2011,API,M,55-59,26366
2011,B,M,55-59,79931
2011,W,M,55-59,426613
2011,AI,F,60-64,2798
2011,API,F,60-64,25504
2011,B,F,60-64,70362
2011,W,F,60-64,397183
2011,AI,M,60-64,2799
2011,API,M,60-64,20885
2011,B,M,60-64,59003
2011,W,M,60-64,378698
2011,AI,F,65-69,1790
2011,API,F,65-69,16284
2011,B,F,65-69,45366
2011,W,F,65-69,297550
2011,AI,M,65-69,1824
2011,API,M,65-69,14248
2011,B,M,65-69,35773
2011,W,M,65-69,278087
2011,AI,F,70-74,1126
2011,API,F,70-74,11030
2011,B,F,70-74,32802
2011,W,F,70-74,226721
2011,AI,M,70-74,1119
2011,API,M,70-74,9723
2011,B,M,70-74,23851
2011,W,M,70-74,201250
2011,AI,F,75-79,790
2011,API,F,75-79,7082
2011,B,F,75-79,25130
2011,W,F,75-79,181986
2011,AI,M,75-79,647
2011,API,M,75-79,5713
2011,B,M,75-79,16130
2011,W,M,75-79,148579
2011,AI,F,80-84,457
2011,API,F,80-84,4439
2011,B,F,80-84,17575
2011,W,F,80-84,145870
2011,AI,M,80-84,410
2011,API,M,80-84,3045
2011,B,M,80-84,9525
2011,W,M,80-84,102992
2011,AI,F,85+,412
2011,API,F,85+,3193
2011,B,F,85+,17461
2011,W,F,85+,156277
2011,AI,M,85+,244
2011,API,M,85+,1895
2011,B,M,85+,6967
2011,W,M,85+,78904
2012,AI,F,20-24,3650
2012,API,F,20-24,39946
2012,B,F,20-24,127149
2012,W,F,20-24,366253
2012,AI,M,20-24,3777
2012,API,M,20-24,43177
2012,B,M,20-24,128945
2012,W,M,20-24,381958
2012,AI,F,25-29,3348
2012,API,F,25-29,49975
2012,B,F,25-29,119268
2012,W,F,25-29,384151
2012,AI,M,25-29,3249
2012,API,M,25-29,47224
2012,B,M,25-29,114395
2012,W,M,25-29,390674
2012,AI,F,30-34,3219
2012,API,F,30-34,53258
2012,B,F,30-34,120188
2012,W,F,30-34,374381
2012,AI,M,30-34,3113
2012,API,M,30-34,47173
2012,B,M,30-34,110579
2012,W,M,30-34,380972
2012,AI,F,35-39,3131
2012,API,F,35-39,54048
2012,B,F,35-39,111501
2012,W,F,35-39,348494
2012,AI,M,35-39,3042
2012,API,M,35-39,49457
2012,B,M,35-39,100874
2012,W,M,35-39,352622
2012,AI,F,40-44,3524
2012,API,F,40-44,50851
2012,B,F,40-44,113961
2012,W,F,40-44,392685
2012,AI,M,40-44,3315
2012,API,M,40-44,47645
2012,B,M,40-44,104368
2012,W,M,40-44,398805
2012,AI,F,45-49,3744
2012,API,F,45-49,40942
2012,B,F,45-49,112984
2012,W,F,45-49,414635
2012,AI,M,45-49,3528
2012,API,M,45-49,39445
2012,B,M,45-49,103244
2012,W,M,45-49,414068
2012,AI,F,50-54,4176
2012,API,F,50-54,36020
2012,B,F,50-54,111060
2012,W,F,50-54,470161
2012,AI,M,50-54,3770
2012,API,M,50-54,33034
2012,B,M,50-54,101244
2012,W,M,50-54,465940
2012,AI,F,55-59,3578
2012,API,F,55-59,32089
2012,B,F,55-59,95793
2012,W,F,55-59,451356
2012,AI,M,55-59,3512
2012,API,M,55-59,27907
2012,B,M,55-59,84419
2012,W,M,55-59,436604
2012,AI,F,60-64,2848
2012,API,F,60-64,27192
2012,B,F,60-64,74132
2012,W,F,60-64,394143
2012,AI,M,60-64,2840
2012,API,M,60-64,22173
2012,B,M,60-64,61690
2012,W,M,60-64,374460
2012,AI,F,65-69,1997
2012,API,F,65-69,18041
2012,B,F,65-69,49220
2012,W,F,65-69,324220
2012,AI,M,65-69,2039
2012,API,M,65-69,15549
2012,B,M,65-69,38872
2012,W,M,65-69,303304
2012,AI,F,70-74,1222
2012,API,F,70-74,12174
2012,B,F,70-74,34095
2012,W,F,70-74,235895
2012,AI,M,70-74,1226
2012,API,M,70-74,10608
2012,B,M,70-74,25070
2012,W,M,70-74,209854
2012,AI,F,75-79,842
2012,API,F,75-79,7773
2012,B,F,75-79,25824
2012,W,F,75-79,183501
2012,AI,M,75-79,725
2012,API,M,75-79,6386
2012,B,M,75-79,16610
2012,W,M,75-79,150705
2012,AI,F,80-84,515
2012,API,F,80-84,4774
2012,B,F,80-84,17937
2012,W,F,80-84,146094
2012,AI,M,80-84,432
2012,API,M,80-84,3380
2012,B,M,80-84,9910
2012,W,M,80-84,104694
2012,AI,F,85+,472
2012,API,F,85+,3578
2012,B,F,85+,17913
2012,W,F,85+,159971
2012,AI,M,85+,304
2012,API,M,85+,2141
2012,B,M,85+,7243
2012,W,M,85+,82466
2013,AI,F,20-24,3760
2013,API,F,20-24,41404
2013,B,F,20-24,130968
2013,W,F,20-24,364913
2013,AI,M,20-24,4083
2013,API,M,20-24,44799
2013,B,M,20-24,135041
2013,W,M,20-24,383845
2013,AI,F,25-29,3474
2013,API,F,25-29,52098
2013,B,F,25-29,122562
2013,W,F,25-29,385235
2013,AI,M,25-29,3308
2013,API,M,25-29,49521
2013,B,M,25-29,118149
2013,W,M,25-29,391955
2013,AI,F,30-34,3277
2013,API,F,30-34,56412
2013,B,F,30-34,123855
2013,W,F,30-34,382593
2013,AI,M,30-34,3229
2013,API,M,30-34,50232
2013,B,M,30-34,114716
2013,W,M,30-34,390959
2013,AI,F,35-39,3133
2013,API,F,35-39,55314
2013,B,F,35-39,112643
2013,W,F,35-39,350329
2013,AI,M,35-39,3032
2013,API,M,35-39,50552
2013,B,M,35-39,102626
2013,W,M,35-39,354234
2013,AI,F,40-44,3519
2013,API,F,40-44,54139
2013,B,F,40-44,116113
2013,W,F,40-44,388871
2013,AI,M,40-44,3273
2013,API,M,40-44,50380
2013,B,M,40-44,105902
2013,W,M,40-44,394206
2013,AI,F,45-49,3611
2013,API,F,45-49,42732
2013,B,F,45-49,112144
2013,W,F,45-49,397834
2013,AI,M,45-49,3409
2013,API,M,45-49,41085
2013,B,M,45-49,102623
2013,W,M,45-49,400158
2013,AI,F,50-54,4220
2013,API,F,50-54,37698
2013,B,F,50-54,112511
2013,W,F,50-54,465552
2013,AI,M,50-54,3806
2013,API,M,50-54,34890
2013,B,M,50-54,102368
2013,W,M,50-54,460013
2013,AI,F,55-59,3742
2013,API,F,55-59,33493
2013,B,F,55-59,99592
2013,W,F,55-59,456601
2013,AI,M,55-59,3670
2013,API,M,55-59,29377
2013,B,M,55-59,88033
2013,W,M,55-59,442879
2013,AI,F,60-64,2933
2013,API,F,60-64,28713
2013,B,F,60-64,77632
2013,W,F,60-64,399348
2013,AI,M,60-64,2920
2013,API,M,60-64,23438
2013,B,M,60-64,64148
2013,W,M,60-64,378470
2013,AI,F,65-69,2169
2013,API,F,65-69,20101
2013,B,F,65-69,53072
2013,W,F,65-69,336556
2013,AI,M,65-69,2134
2013,API,M,65-69,17083
2013,B,M,65-69,42142
2013,W,M,65-69,314299
2013,AI,F,70-74,1345
2013,API,F,70-74,13407
2013,B,F,70-74,36031
2013,W,F,70-74,249237
2013,AI,M,70-74,1376
2013,API,M,70-74,11570
2013,B,M,70-74,26614
2013,W,M,70-74,222937
2013,AI,F,75-79,898
2013,API,F,75-79,8444
2013,B,F,75-79,26195
2013,W,F,75-79,186839
2013,AI,M,75-79,813
2013,API,M,75-79,7129
2013,B,M,75-79,17030
2013,W,M,75-79,154045
2013,AI,F,80-84,575
2013,API,F,80-84,5206
2013,B,F,80-84,18395
2013,W,F,80-84,145854
2013,AI,M,80-84,453
2013,API,M,80-84,3781
2013,B,M,80-84,10284
2013,W,M,80-84,105963
2013,AI,F,85+,530
2013,API,F,85+,3993
2013,B,F,85+,18398
2013,W,F,85+,161590
2013,AI,M,85+,354
2013,API,M,85+,2433
2013,B,M,85+,7585
2013,W,M,85+,84928
2014,AI,F,20-24,3937
2014,API,F,20-24,43445
2014,B,F,20-24,134253
2014,W,F,20-24,363007
2014,AI,M,20-24,4257
2014,API,M,20-24,46439
2014,B,M,20-24,139638
2014,W,M,20-24,384991
2014,AI,F,25-29,3621
2014,API,F,25-29,55863
2014,B,F,25-29,128106
2014,W,F,25-29,391219
2014,AI,M,25-29,3467
2014,API,M,25-29,53628
2014,B,M,25-29,124320
2014,W,M,25-29,399032
2014,AI,F,30-34,3361
2014,API,F,30-34,60304
2014,B,F,30-34,126897
2014,W,F,30-34,390793
2014,AI,M,30-34,3306
2014,API,M,30-34,54273
2014,B,M,30-34,118022
2014,W,M,30-34,398944
2014,AI,F,35-39,3126
2014,API,F,35-39,57906
2014,B,F,35-39,116553
2014,W,F,35-39,356504
2014,AI,M,35-39,3122
2014,API,M,35-39,52841
2014,B,M,35-39,106676
2014,W,M,35-39,361760
2014,AI,F,40-44,3498
2014,API,F,40-44,57263
2014,B,F,40-44,118040
2014,W,F,40-44,381569
2014,AI,M,40-44,3253
2014,API,M,40-44,53277
2014,B,M,40-44,107336
2014,W,M,40-44,387384
2014,AI,F,45-49,3513
2014,API,F,45-49,45406
2014,B,F,45-49,111043
2014,W,F,45-49,388917
2014,AI,M,45-49,3362
2014,API,M,45-49,43532
2014,B,M,45-49,101950
2014,W,M,45-49,392613
2014,AI,F,50-54,4244
2014,API,F,50-54,39547
2014,B,F,50-54,113818
2014,W,F,50-54,460254
2014,AI,M,50-54,3837
2014,API,M,50-54,37139
2014,B,M,50-54,103135
2014,W,M,50-54,454050
2014,AI,F,55-59,3862
2014,API,F,55-59,35192
2014,B,F,55-59,103286
2014,W,F,55-59,459423
2014,AI,M,55-59,3766
2014,API,M,55-59,30788
2014,B,M,55-59,91607
2014,W,M,55-59,447329
2014,AI,F,60-64,3013
2014,API,F,60-64,30424
2014,B,F,60-64,81275
2014,W,F,60-64,408356
2014,AI,M,60-64,2955
2014,API,M,60-64,24800
2014,B,M,60-64,67040
2014,W,M,60-64,385933
2014,AI,F,65-69,2359
2014,API,F,65-69,22430
2014,B,F,65-69,57415
2014,W,F,65-69,349164
2014,AI,M,65-69,2338
2014,API,M,65-69,18676
2014,B,M,65-69,45627
2014,W,M,65-69,325419
2014,AI,F,70-74,1472
2014,API,F,70-74,14702
2014,B,F,70-74,38297
2014,W,F,70-74,261378
2014,AI,M,70-74,1529
2014,API,M,70-74,12649
2014,B,M,70-74,27807
2014,W,M,70-74,233568
2014,AI,F,75-79,979
2014,API,F,75-79,9267
2014,B,F,75-79,26648
2014,W,F,75-79,190999
2014,AI,M,75-79,873
2014,API,M,75-79,7845
2014,B,M,75-79,17644
2014,W,M,75-79,158578
2014,AI,F,80-84,619
2014,API,F,80-84,5627
2014,B,F,80-84,18779
2014,W,F,80-84,145968
2014,AI,M,80-84,491
2014,API,M,80-84,4260
2014,B,M,80-84,10699
2014,W,M,80-84,106793
2014,AI,F,85+,593
2014,API,F,85+,4482
2014,B,F,85+,19081
2014,W,F,85+,164437
2014,AI,M,85+,420
2014,API,M,85+,2759
2014,B,M,85+,8007
2014,W,M,85+,88130
2015,AI,F,20-24,3984
2015,API,F,20-24,45158
2015,B,F,20-24,134732
2015,W,F,20-24,357031
2015,AI,M,20-24,4283
2015,API,M,20-24,47685
2015,B,M,20-24,142120
2015,W,M,20-24,382946
2015,AI,F,25-29,3816
2015,API,F,25-29,59754
2015,B,F,25-29,135227
2015,W,F,25-29,396899
2015,AI,M,25-29,3714
2015,API,M,25-29,57584
2015,B,M,25-29,131389
2015,W,M,25-29,405547
2015,AI,F,30-34,3402
2015,API,F,30-34,64255
2015,B,F,30-34,129215
2015,W,F,30-34,397315
2015,AI,M,30-34,3425
2015,API,M,30-34,58217
2015,B,M,30-34,120901
2015,W,M,30-34,405702
2015,AI,F,35-39,3207
2015,API,F,35-39,61098
2015,B,F,35-39,122592
2015,W,F,35-39,365694
2015,AI,M,35-39,3219
2015,API,M,35-39,55729
2015,B,M,35-39,112569
2015,W,M,35-39,372351
2015,AI,F,40-44,3395
2015,API,F,40-44,60118
2015,B,F,40-44,118353
2015,W,F,40-44,372101
2015,AI,M,40-44,3256
2015,API,M,40-44,56037
2015,B,M,40-44,107827
2015,W,M,40-44,377632
2015,AI,F,45-49,3492
2015,API,F,45-49,49318
2015,B,F,45-49,112099
2015,W,F,45-49,389304
2015,AI,M,45-49,3329
2015,API,M,45-49,46940
2015,B,M,45-49,102959
2015,W,M,45-49,394458
2015,AI,F,50-54,4170
2015,API,F,50-54,40893
2015,B,F,50-54,115005
2015,W,F,50-54,448364
2015,AI,M,50-54,3768
2015,API,M,50-54,38938
2015,B,M,50-54,103418
2015,W,M,50-54,442417
2015,AI,F,55-59,3952
2015,API,F,55-59,36896
2015,B,F,55-59,106244
2015,W,F,55-59,462487
2015,AI,M,55-59,3884
2015,API,M,55-59,32371
2015,B,M,55-59,94459
2015,W,M,55-59,451254
2015,AI,F,60-64,3171
2015,API,F,60-64,31980
2015,B,F,60-64,85373
2015,W,F,60-64,418476
2015,AI,M,60-64,3071
2015,API,M,60-64,26229
2015,B,M,60-64,70778
2015,W,M,60-64,395292
2015,AI,F,65-69,2527
2015,API,F,65-69,25149
2015,B,F,65-69,62131
2015,W,F,65-69,362660
2015,AI,M,65-69,2557
2015,API,M,65-69,20493
2015,B,M,65-69,49207
2015,W,M,65-69,337123
2015,AI,F,70-74,1587
2015,API,F,70-74,16110
2015,B,F,70-74,40406
2015,W,F,70-74,270535
2015,AI,M,70-74,1614
2015,API,M,70-74,13822
2015,B,M,70-74,29345
2015,W,M,70-74,241578
2015,AI,F,75-79,1014
2015,API,F,75-79,10269
2015,B,F,75-79,27602
2015,W,F,75-79,194695
2015,AI,M,75-79,953
2015,API,M,75-79,8713
2015,B,M,75-79,18202
2015,W,M,75-79,162185
2015,AI,F,80-84,679
2015,API,F,80-84,5990
2015,B,F,80-84,19254
2015,W,F,80-84,146943
2015,AI,M,80-84,540
2015,API,M,80-84,4719
2015,B,M,80-84,11158
2015,W,M,80-84,108412
2015,AI,F,85+,665
2015,API,F,85+,5107
2015,B,F,85+,19773
2015,W,F,85+,166958
2015,AI,M,85+,483
2015,API,M,85+,3194
2015,B,M,85+,8375
2015,W,M,85+,91407
2016,AI,F,20-24,4005
2016,API,F,20-24,45938
2016,B,F,20-24,133661
2016,W,F,20-24,348845
2016,AI,M,20-24,4254
2016,API,M,20-24,48144
2016,B,M,20-24,141853
2016,W,M,20-24,376231
2016,AI,F,25-29,4031
2016,API,F,25-29,62432
2016,B,F,25-29,142271
2016,W,F,25-29,400296
2016,AI,M,25-29,3936
2016,API,M,25-29,60163
2016,B,M,25-29,138777
2016,W,M,25-29,410049
2016,AI,F,30-34,3459
2016,API,F,30-34,67435
2016,B,F,30-34,132237
2016,W,F,30-34,401127
2016,AI,M,30-34,3451
2016,API,M,30-34,61635
2016,B,M,30-34,124884
2016,W,M,30-34,409334
2016,AI,F,35-39,3314
2016,API,F,35-39,64647
2016,B,F,35-39,127703
2016,W,F,35-39,377104
2016,AI,M,35-39,3345
2016,API,M,35-39,58703
2016,B,M,35-39,118002
2016,W,M,35-39,383106
2016,AI,F,40-44,3253
2016,API,F,40-44,62456
2016,B,F,40-44,118115
2016,W,F,40-44,359719
2016,AI,M,40-44,3140
2016,API,M,40-44,58575
2016,B,M,40-44,107258
2016,W,M,40-44,365176
2016,AI,F,45-49,3552
2016,API,F,45-49,53089
2016,B,F,45-49,115120
2016,W,F,45-49,395488
2016,AI,M,45-49,3398
2016,API,M,45-49,50397
2016,B,M,45-49,105516
2016,W,M,45-49,401544
2016,AI,F,50-54,3933
2016,API,F,50-54,42653
2016,B,F,50-54,114866
2016,W,F,50-54,429911
2016,AI,M,50-54,3662
2016,API,M,50-54,40988
2016,B,M,50-54,103324
2016,W,M,50-54,425441
2016,AI,F,55-59,4101
2016,API,F,55-59,37832
2016,B,F,55-59,108814
2016,W,F,55-59,464725
2016,AI,M,55-59,3815
2016,API,M,55-59,33621
2016,B,M,55-59,96237
2016,W,M,55-59,453710
2016,AI,F,60-64,3290
2016,API,F,60-64,33688
2016,B,F,60-64,89217
2016,W,F,60-64,426764
2016,AI,M,60-64,3268
2016,API,M,60-64,27978
2016,B,M,60-64,74598
2016,W,M,60-64,403143
2016,AI,F,65-69,2686
2016,API,F,65-69,27746
2016,B,F,65-69,67488
2016,W,F,65-69,378679
2016,AI,M,65-69,2711
2016,API,M,65-69,21969
2016,B,M,65-69,53121
2016,W,M,65-69,349992
2016,AI,F,70-74,1712
2016,API,F,70-74,17432
2016,B,F,70-74,41976
2016,W,F,70-74,275706
2016,AI,M,70-74,1740
2016,API,M,70-74,14974
2016,B,M,70-74,30652
2016,W,M,70-74,246698
2016,AI,F,75-79,1072
2016,API,F,75-79,11210
2016,B,F,75-79,28914
2016,W,F,75-79,201058
2016,AI,M,75-79,1035
2016,API,M,75-79,9599
2016,B,M,75-79,18976
2016,W,M,75-79,167972
2016,AI,F,80-84,741
2016,API,F,80-84,6501
2016,B,F,80-84,19941
2016,W,F,80-84,147905
2016,AI,M,80-84,594
2016,API,M,80-84,5280
2016,B,M,80-84,11549
2016,W,M,80-84,110145
2016,AI,F,85+,734
2016,API,F,85+,5729
2016,B,F,85+,20264
2016,W,F,85+,169275
2016,AI,M,85+,566
2016,API,M,85+,3567
2016,B,M,85+,8707
2016,W,M,85+,94446
2017,AI,F,20-24,3925
2017,API,F,20-24,47128
2017,B,F,20-24,132716
2017,W,F,20-24,343029
2017,AI,M,20-24,4116
2017,API,M,20-24,48667
2017,B,M,20-24,140416
2017,W,M,20-24,369872
2017,AI,F,25-29,4117
2017,API,F,25-29,64195
2017,B,F,25-29,148071
2017,W,F,25-29,399971
2017,AI,M,25-29,4231
2017,API,M,25-29,62071
2017,B,M,25-29,146617
2017,W,M,25-29,412760
2017,AI,F,30-34,3683
2017,API,F,30-34,69965
2017,B,F,30-34,135674
2017,W,F,30-34,402117
2017,AI,M,30-34,3479
2017,API,M,30-34,64190
2017,B,M,30-34,128352
2017,W,M,30-34,409656
2017,AI,F,35-39,3338
2017,API,F,35-39,68219
2017,B,F,35-39,131854
2017,W,F,35-39,385404
2017,AI,M,35-39,3370
2017,API,M,35-39,62113
2017,B,M,35-39,122570
2017,W,M,35-39,391937
2017,AI,F,40-44,3240
2017,API,F,40-44,64167
2017,B,F,40-44,118988
2017,W,F,40-44,356276
2017,AI,M,40-44,3217
2017,API,M,40-44,60160
2017,B,M,40-44,108120
2017,W,M,40-44,360714
2017,AI,F,45-49,3536
2017,API,F,45-49,57234
2017,B,F,45-49,118063
2017,W,F,45-49,395728
2017,AI,M,45-49,3390
2017,API,M,45-49,54205
2017,B,M,45-49,108205
2017,W,M,45-49,402307
2017,AI,F,50-54,3708
2017,API,F,50-54,44548
2017,B,F,50-54,114012
2017,W,F,50-54,412250
2017,AI,M,50-54,3560
2017,API,M,50-54,42573
2017,B,M,50-54,102858
2017,W,M,50-54,409909
2017,AI,F,55-59,4124
2017,API,F,55-59,38799
2017,B,F,55-59,110588
2017,W,F,55-59,460996
2017,AI,M,55-59,3788
2017,API,M,55-59,35006
2017,B,M,55-59,97505
2017,W,M,55-59,450011
2017,AI,F,60-64,3473
2017,API,F,60-64,35382
2017,B,F,60-64,93592
2017,W,F,60-64,435430
2017,AI,M,60-64,3436
2017,API,M,60-64,29560
2017,B,M,60-64,78696
2017,W,M,60-64,411022
2017,AI,F,65-69,2773
2017,API,F,65-69,29657
2017,B,F,65-69,70833
2017,W,F,65-69,374392
2017,AI,M,65-69,2749
2017,API,M,65-69,23211
2017,B,M,65-69,55212
2017,W,M,65-69,344568
2017,AI,F,70-74,1930
2017,API,F,70-74,19164
2017,B,F,70-74,45700
2017,W,F,70-74,300865
2017,AI,M,70-74,1936
2017,API,M,70-74,16343
2017,B,M,70-74,33552
2017,W,M,70-74,270052
2017,AI,F,75-79,1146
2017,API,F,75-79,12416
2017,B,F,75-79,30109
2017,W,F,75-79,209313
2017,AI,M,75-79,1135
2017,API,M,75-79,10610
2017,B,M,75-79,19912
2017,W,M,75-79,175335
2017,AI,F,80-84,765
2017,API,F,80-84,7109
2017,B,F,80-84,20582
2017,W,F,80-84,149212
2017,AI,M,80-84,670
2017,API,M,80-84,5895
2017,B,M,80-84,11775
2017,W,M,80-84,111733
2017,AI,F,85+,859
2017,API,F,85+,6327
2017,B,F,85+,20702
2017,W,F,85+,170806
2017,AI,M,85+,632
2017,API,M,85+,4010
2017,B,M,85+,9142
2017,W,M,85+,97022
2018,AI,F,20-24,3872
2018,API,F,20-24,47620
2018,B,F,20-24,131892
2018,W,F,20-24,340081
2018,AI,M,20-24,4030
2018,API,M,20-24,48612
2018,B,M,20-24,138407
2018,W,M,20-24,365945
2018,AI,F,25-29,4186
2018,API,F,25-29,64122
2018,B,F,25-29,152464
2018,W,F,25-29,396599
2018,AI,M,25-29,4447
2018,API,M,25-29,61768
2018,B,M,25-29,152817
2018,W,M,25-29,411770
2018,AI,F,30-34,3815
2018,API,F,30-34,71492
2018,B,F,30-34,139251
2018,W,F,30-34,401837
2018,AI,M,30-34,3552
2018,API,M,30-34,65633
2018,B,M,30-34,131915
2018,W,M,30-34,409305
2018,AI,F,35-39,3432
2018,API,F,35-39,71428
2018,B,F,35-39,136082
2018,W,F,35-39,393314
2018,AI,M,35-39,3446
2018,API,M,35-39,65195
2018,B,M,35-39,126652
2018,W,M,35-39,400772
2018,AI,F,40-44,3232
2018,API,F,40-44,65557
2018,B,F,40-44,120633
2018,W,F,40-44,357927
2018,AI,M,40-44,3234
2018,API,M,40-44,61395
2018,B,M,40-44,110053
2018,W,M,40-44,362238
2018,AI,F,45-49,3539
2018,API,F,45-49,60486
2018,B,F,45-49,120551
2018,W,F,45-49,392050
2018,AI,M,45-49,3365
2018,API,M,45-49,57130
2018,B,M,45-49,109636
2018,W,M,45-49,397515
2018,AI,F,50-54,3570
2018,API,F,50-54,46441
2018,B,F,50-54,113276
2018,W,F,50-54,396034
2018,AI,M,50-54,3454
2018,API,M,50-54,44362
2018,B,M,50-54,102376
2018,W,M,50-54,396364
2018,AI,F,55-59,4160
2018,API,F,55-59,40364
2018,B,F,55-59,112103
2018,W,F,55-59,456356
2018,AI,M,55-59,3785
2018,API,M,55-59,36858
2018,B,M,55-59,98464
2018,W,M,55-59,444492
2018,AI,F,60-64,3617
2018,API,F,60-64,36696
2018,B,F,60-64,97202
2018,W,F,60-64,440572
2018,AI,M,60-64,3587
2018,API,M,60-64,30873
2018,B,M,60-64,82216
2018,W,M,60-64,417127
2018,AI,F,65-69,2828
2018,API,F,65-69,31246
2018,B,F,65-69,74198
2018,W,F,65-69,379659
2018,AI,M,65-69,2790
2018,API,M,65-69,24370
2018,B,M,65-69,57361
2018,W,M,65-69,348195
2018,AI,F,70-74,2099
2018,API,F,70-74,21149
2018,B,F,70-74,49490
2018,W,F,70-74,312437
2018,AI,M,70-74,2051
2018,API,M,70-74,17734
2018,B,M,70-74,36422
2018,W,M,70-74,280285
2018,AI,F,75-79,1233
2018,API,F,75-79,13557
2018,B,F,75-79,32033
2018,W,F,75-79,221710
2018,AI,M,75-79,1277
2018,API,M,75-79,11534
2018,B,M,75-79,21267
2018,W,M,75-79,186821
2018,AI,F,80-84,802
2018,API,F,80-84,7685
2018,B,F,80-84,20859
2018,W,F,80-84,152203
2018,AI,M,80-84,733
2018,API,M,80-84,6551
2018,B,M,80-84,12199
2018,W,M,80-84,114515
2018,AI,F,85+,924
2018,API,F,85+,6944
2018,B,F,85+,21441
2018,W,F,85+,171669
2018,AI,M,85+,668
2018,API,M,85+,4457
2018,B,M,85+,9576
2018,W,M,85+,99244
2019,AI,F,20-24,3788
2019,API,F,20-24,47859
2019,B,F,20-24,131620
2019,W,F,20-24,339611
2019,AI,M,20-24,3907
2019,API,M,20-24,48968
2019,B,M,20-24,138225
2019,W,M,20-24,365218
2019,AI,F,25-29,4322
2019,API,F,25-29,64130
2019,B,F,25-29,155124
2019,W,F,25-29,392140
2019,AI,M,25-29,4596
2019,API,M,25-29,61810
2019,B,M,25-29,156872
2019,W,M,25-29,409159
2019,AI,F,30-34,3895
2019,API,F,30-34,73282
2019,B,F,30-34,145001
2019,W,F,30-34,404985
2019,AI,M,30-34,3666
2019,API,M,30-34,67574
2019,B,M,30-34,138022
2019,W,M,30-34,412986
2019,AI,F,35-39,3543
2019,API,F,35-39,74210
2019,B,F,35-39,138732
2019,W,F,35-39,400244
2019,AI,M,35-39,3605
2019,API,M,35-39,68121
2019,B,M,35-39,129207
2019,W,M,35-39,406758
2019,AI,F,40-44,3238
2019,API,F,40-44,67838
2019,B,F,40-44,124358
2019,W,F,40-44,362523
2019,AI,M,40-44,3270
2019,API,M,40-44,62958
2019,B,M,40-44,113442
2019,W,M,40-44,368037
2019,AI,F,45-49,3522
2019,API,F,45-49,63011
2019,B,F,45-49,122250
2019,W,F,45-49,384025
2019,AI,M,45-49,3309
2019,API,M,45-49,59875
2019,B,M,45-49,111087
2019,W,M,45-49,389301
2019,AI,F,50-54,3472
2019,API,F,50-54,48868
2019,B,F,50-54,112261
2019,W,F,50-54,386766
2019,AI,M,50-54,3339
2019,API,M,50-54,46529
2019,B,M,50-54,101650
2019,W,M,50-54,388403
2019,AI,F,55-59,4136
2019,API,F,55-59,42033
2019,B,F,55-59,113492
2019,W,F,55-59,450455
2019,AI,M,55-59,3855
2019,API,M,55-59,38967
2019,B,M,55-59,99425
2019,W,M,55-59,438539
2019,AI,F,60-64,3747
2019,API,F,60-64,38007
2019,B,F,60-64,100739
2019,W,F,60-64,443682
2019,AI,M,60-64,3649
2019,API,M,60-64,32036
2019,B,M,60-64,85508
2019,W,M,60-64,422029
2019,AI,F,65-69,2917
2019,API,F,65-69,32733
2019,B,F,65-69,77750
2019,W,F,65-69,388014
2019,AI,M,65-69,2805
2019,API,M,65-69,25553
2019,B,M,65-69,60051
2019,W,M,65-69,354666
2019,AI,F,70-74,2250
2019,API,F,70-74,23312
2019,B,F,70-74,53692
2019,W,F,70-74,324125
2019,AI,M,70-74,2207
2019,API,M,70-74,19196
2019,B,M,70-74,39654
2019,W,M,70-74,290531
2019,AI,F,75-79,1343
2019,API,F,75-79,14705
2019,B,F,75-79,34083
2019,W,F,75-79,232607
2019,AI,M,75-79,1387
2019,API,M,75-79,12411
2019,B,M,75-79,22371
2019,W,M,75-79,195974
2019,AI,F,80-84,854
2019,API,F,80-84,8433
2019,B,F,80-84,21311
