Year,Race,Sex,Age,Pop
2013,Total,M,40-44,897733
2013,Total,F,45-49,854510
2013,Total,M,45-49,848946
2013,Total,F,50-54,882416
2013,Total,M,50-54,862727
2013,Total,F,55-59,808759
2013,Total,M,55-59,769234
2013,Total,F,60-64,675181
2013,Total,M,60-64,620158
2013,Total,F,65-69,536280
2013,Total,M,65-69,483262
2013,Total,F,70-74,384971
2013,Total,M,70-74,330824
2013,Total,F,75-79,286679
2013,Total,M,75-79,226038
2013,Total,F,80-84,215690
2013,Total,M,80-84,150637
2013,Total,F,85+,225090
2013,Total,M,85+,117837
2014,Total,F,20-24,968836
2014,Total,M,20-24,1030777
2014,Total,F,25-29,967861
2014,Total,M,25-29,1007329
2014,Total,F,30-34,973900
2014,Total,M,30-34,991746
2014,Total,F,35-39,906248
2014,Total,M,35-39,906339
2014,Total,F,40-44,917289
2014,Total,M,40-44,904621
2014,Total,F,45-49,854582
2014,Total,M,45-49,849216
2014,Total,F,50-54,889379
2014,Total,M,50-54,868992
2014,Total,F,55-59,825921
2014,Total,M,55-59,788804
2014,Total,F,60-64,697576
2014,Total,M,60-64,639334
2014,Total,F,65-69,563539
2014,Total,M,65-69,507100
2014,Total,F,70-74,405818
2014,Total,M,70-74,348161
2014,Total,F,75-79,294449
2014,Total,M,75-79,233916
2014,Total,F,80-84,218044
2014,Total,M,80-84,153660
2014,Total,F,85+,231756
2014,Total,M,85+,123372
2015,Total,F,20-24,972381
2015,Total,M,20-24,1039674
2015,Total,F,25-29,995015
2015,Total,M,25-29,1036429
2015,Total,F,30-34,990160
2015,Total,M,30-34,1011023
2015,Total,F,35-39,932757
2015,Total,M,35-39,938145
2015,Total,F,40-44,919039
2015,Total,M,40-44,907690
2015,Total,F,45-49,870191
2015,Total,M,45-49,864722
2015,Total,F,50-54,887652
2015,Total,M,50-54,867011
2015,Total,F,55-59,843638
2015,Total,M,55-59,808392
2015,Total,F,60-64,722067
2015,Total,M,60-64,662807
2015,Total,F,65-69,593061
2015,Total,M,65-69,531766
2015,Total,F,70-74,424078
2015,Total,M,70-74,363805
2015,Total,F,75-79,302130
2015,Total,M,75-79,241065
2015,Total,F,80-84,221474
2015,Total,M,80-84,157656
2015,Total,F,85+,238771
2015,Total,M,85+,129297
2016,Total,F,20-24,968225
2016,Total,M,20-24,1036654
2016,Total,F,25-29,1020752
2016,Total,M,25-29,1062516
2016,Total,F,30-34,1003990
2016,Total,M,30-34,1030272
2016,Total,F,35-39,960515
2016,Total,M,35-39,967860
2016,Total,F,40-44,914438
2016,Total,M,40-44,905083
2016,Total,F,45-49,896268
2016,Total,M,45-49,887588
2016,Total,F,50-54,877540
2016,Total,M,50-54,859668
2016,Total,F,55-59,858068
2016,Total,M,55-59,822668
2016,Total,F,60-64,745269
2016,Total,M,60-64,685575
2016,Total,F,65-69,625419
2016,Total,M,65-69,557927
2016,Total,F,70-74,438128
2016,Total,M,70-74,376799
2016,Total,F,75-79,313265
2016,Total,M,75-79,250788
2016,Total,F,80-84,225736
2016,Total,M,80-84,161794
2016,Total,F,85+,244902
2016,Total,M,85+,134901
2017,Total,F,20-24,964350
2017,Total,M,20-24,1029992
2017,Total,F,25-29,1041654
2017,Total,M,25-29,1086419
2017,Total,F,30-34,1012789
2017,Total,M,30-34,1041670
2017,Total,F,35-39,983894
2017,Total,M,35-39,995197
2017,Total,F,40-44,917866
2017,Total,M,40-44,909691
2017,Total,F,45-49,915795
2017,Total,M,45-49,905847
2017,Total,F,50-54,866470
2017,Total,M,50-54,850302
2017,Total,F,55-59,865262
2017,Total,M,55-59,830627
2017,Total,F,60-64,770093
2017,Total,M,60-64,709210
2017,Total,F,65-69,631725
2017,Total,M,65-69,560728
2017,Total,F,70-74,477445
2017,Total,M,70-74,412171
2017,Total,F,75-79,326732
2017,Total,M,75-79,262609
2017,Total,F,80-84,230352
2017,Total,M,80-84,165768
2017,Total,F,85+,250089
2017,Total,M,85+,140162
2018,Total,F,20-24,965785
2018,Total,M,20-24,1025731
2018,Total,F,25-29,1053465
2018,Total,M,25-29,1100553
2018,Total,F,30-34,1019657
2018,Total,M,30-34,1051514
2018,Total,F,35-39,1006697
2018,Total,M,35-39,1020328
2018,Total,F,40-44,925216
2018,Total,M,40-44,921420
2018,Total,F,45-49,928410
2018,Total,M,45-49,914260
2018,Total,F,50-54,858076
2018,Total,M,50-54,844104
2018,Total,F,55-59,872572
2018,Total,M,55-59,837026
2018,Total,F,60-64,788683
2018,Total,M,60-64,729231
2018,Total,F,65-69,649008
2018,Total,M,65-69,573767
2018,Total,F,70-74,502340
2018,Total,M,70-74,433968
2018,Total,F,75-79,346050
2018,Total,M,75-79,279564
2018,Total,F,80-84,236605
2018,Total,M,80-84,171617
2018,Total,F,85+,254628
2018,Total,M,85+,144683
2019,Total,F,20-24,972342
2019,Total,M,20-24,1030183
2019,Total,F,25-29,1061442
2019,Total,M,25-29,1110855
2019,Total,F,30-34,1035196
2019,Total,M,30-34,1069270
2019,Total,F,35-39,1024702
