GEOID,pov_population,pov_population_se,pov_rate,pov_rate_se,pov_asian_rate1,pov_black_rate1,pov_latino_rate1,pov_white_rate1,pov_asian_rate2,pov_asian_rate2_se,pov_black_rate2,pov_black_rate2_se,pov_latino_rate2,pov_latino_rate2_se,pov_white_rate2,pov_white_rate2_se,median_income,median_income_se,per_capita_income,per_capita_income_se,nativity,nativity_se,pop,pop_se,api,api_se,asian,asian_se,black,black_se,latino,latino_se,white,white_se
48275950100,1732,93.61702127659575,0.17032332563510394,0.032047271435776396,1,0.6666666666666666,0.24561403508771928,0.12377049180327869,0.0011547344110854503,0.001402544327874902,0.020785219399538105,0.010822318486709663,0.06466512702078522,0.018628011790118762,0.08718244803695151,0.023397018931846553,45940.99913867356,3946.6710649293527,21996.550387596897,1626.3754388445134,0.02631578947368421,0.00899544384577432,1824,101.51975683890578,0.0010964912280701754,0.004532687382685277,0.0010964912280701754,0.0013317224104293214,0.03618421052631579,0.01182784884603148,0.2631578947368421,0.03577855008016231,0.6979166666666666,0.013098421081531598
48275950200,1901,98.48024316109422,0.194634402945818,0.030346833302108245,NA,0.44390243902439025,0.23803009575923392,0.10666666666666667,0,0.004157146534618638,0.047869542346133616,0.014823687447236653,0.09153077327722252,0.022203755703921274,0.05470804839558127,0.017682018425774573,35888.027562446165,3349.3477219355495,20159.99138673557,1372.0694611342803,0.11526639344262295,0.024438635031685293,1952,101.51975683890578,5.122950819672131e-4,0.004096077343967061,0,0.004048532562658827,0.10502049180327869,0.011195755074189856,0.3744877049180328,0.030794648423752072,0.5256147540983607,0.026833396998712712
48309002501,4587,235.86626139817628,0.18116415958142576,0.04489822328624122,0,0.38875305623471884,0.23383084577114427,0.09288299155609167,0,0.0017228549296511948,0.06932635709614127,0.03227290538360314,0.061478090255068674,0.026049289082627693,0.050359712230215826,0.02544634822647827,35771.28337639965,4046.553516123036,23109.944013781223,2146.815579274758,0.05144974929147591,0.01932336003800693,4587,235.86626139817628,0.001962066710268149,0.003615884129509965,0.001962066710268149,0.0031790547226209576,0.17833006322214956,0.031147428715437,0.262916939175932,0.03313012872451652,0.5421844342707652,0.03386753023279969
48309002504,3392,168.3890577507599,0.05306603773584906,0.018089278592414274,NA,0.4864864864864865,0,0.05497115710892433,0,0.002329815908699891,0.005306603773584905,0.004831672143431563,0,0.002329815908699891,0.047759433962264154,0.015229177339770182,87984.03962101636,3024.729755556079,43437.48492678725,3133.15478481238,0.045990566037735846,0.02810723501643442,3392,168.3890577507599,0,0.0032948572559159824,0,0.002329815908699891,0.010908018867924528,0.006249163661910981,0.11379716981132075,0.02774697669017064,0.8688089622641509,0.0402035721846396
48309000800,2849,214.58966565349544,0.2706212706212706,0.0529710113901819,0,0.38035714285714284,0.26825842696629215,0.20864197530864198,0,0.002773862956233777,0.07476307476307477,0.019916496310304215,0.13408213408213407,0.048679590183669394,0.05931905931905932,0.0219542449475087,38890.947459086994,1906.3091507425993,14313.053402239448,1216.9888132282986,0.19495974798739937,0.039860492521216706,2857,217.629179331307,0.00840042002100105,0.008319961735391259,0.00840042002100105,0.007846685769888888,0.1960098004900245,0.024290067194734647,0.5012250612530627,0.0516857954795554,0.28351417570878545,0.02954618971752254
48309001400,7738,398.7841945288754,0.3853708968725769,0.05647277073946316,1,0.38990825688073394,0.5269058295964125,0.19850187265917604,0.028043422072887052,0.02139832228695822,0.26363401395709485,0.04808187297469528,0.06073920909795813,0.029846491064256922,0.03424657534246575,0.01434701955299918,23409.371231696812,3240.2655712898168,13384.504737295434,1107.2495411931334,0.059742878749684904,0.02608073639793772,7934,397.5683890577508,0.027350642803125786,0.020917815601060246,0.027350642803125786,0.020872300528925823,0.6678850516763297,0.043468881395762916,0.11507436349886564,0.03127006192929646,0.1811192336778422,0.023681656805037577
48309003602,2414,117.93313069908814,0.21292460646230324,0.03788229124767967,1,0.32,0.3601694915254237,0.1943771206980126,0.0016570008285004142,0.001760907121844147,0.009942004971002486,0.0070343188399319394,0.035211267605633804,0.015518024690123563,0.16611433305716652,0.039208957453588184,46616.60206718346,3363.147271113624,22459.203273040483,1433.8388717409005,0.016570008285004142,0.004783995953638026,2414,117.93313069908814,0.0016570008285004142,0.0037172530222550435,0.0016570008285004142,0.001760907121844147,0.03106876553438277,0.01097579652919467,0.09776304888152444,0.026774321278914923,0.8545981772990886,0.03564619284966841
48463950100,2919,246.80851063829786,0.20109626584446727,0.0371084159966166,NA,0,0.29043853342918763,0.11702127659574468,0,0.002707343460880449,0,0.002707343460880449,0.13840356286399452,0.03495463781915667,0.06029462144570058,0.02147852460944548,39624.92248062015,2411.635499215905,20035.68044788975,2458.948239255018,0.016695059625212946,0.008283720760590897,2935,244.37689969604864,0,0.0038078895441454896,0,0.002692584518674627,0.012947189097103918,0.010716251736497361,0.47393526405451447,0.051696467893403306,0.5178875638841567,0.03878027014006664
48463950400,3563,255.92705167173253,0.18664047151277013,0.052397233610642774,0,0.6,0.24749163879598662,0.06932573599240266,0,0.002218000438481625,0.0033679483581251753,0.003232653630949438,0.16615211900084198,0.05152670139086841,0.02048835251192815,0.009613083592954116,43238.58742463394,8059.593841385034,21368.50990525409,2099.502839235645,0.08425302826379542,0.022827396522244733,3715,258.3586626139818,0.029609690444145357,0.025368986923531876,0.029609690444145357,0.025279642064086543,0.009421265141318977,0.006018925822184821,0.6707940780619112,0.05612480791968707,0.293135935397039,0.027459500235220792
48463950500,5918,370.2127659574468,0.37225413991213246,0.06378028474517954,NA,NA,0.3955901426718547,0.1419624217118998,0,0.0018489775667660663,0,0.0018489775667660663,0.36076377154444067,0.06523498979915446,0.011490368367691788,0.007051204393711501,30687.50645994832,2598.915095204061,14187.66149870801,1508.7507101361628,0.15506277515082342,0.026732452016849855,6133,383.5866261398176,0.0029349421164193705,0.0046168737121349696,0,0.001784159341288371,0.0014674710582096853,0.0021787067873135987,0.8969509212457198,0.0322833176040677,0.09391814772541986,0.021514506650384183
