GEOID,pov_population,pov_population_se,pov_rate,pov_rate_se,pov_asian_rate1,pov_black_rate1,pov_latino_rate1,pov_white_rate1,pov_asian_rate2,pov_asian_rate2_se,pov_black_rate2,pov_black_rate2_se,pov_latino_rate2,pov_latino_rate2_se,pov_white_rate2,pov_white_rate2_se,median_income,median_income_se,per_capita_income,per_capita_income_se
48189950600,2649,255.92705167173253,0.040392600981502456,0.016527331556204245,NA,NA,0.16261682242990655,0.009685230024213076,0,0.02914444976082045,0,0.02914444976082045,0.03284258210645526,0.014809839160179082,0.007550018875047188,0.006845764492440561,52277,13762.310030395136,14323,2642.553191489362
48189950700,2842,252.88753799392097,0.22484166080225193,0.03925939059239106,NA,0,0.2422857142857143,0.20055970149253732,0,0.02716525243364299,0,0.02716525243364299,0.14919071076706544,0.03750517665357647,0.07565095003518649,0.021651026435000928,35938,3693.6170212765956,16204,1102.7355623100304
48201554600,4800,196.96048632218844,0.004166666666666667,0.0029078452699777798,0,0,0,0.005399568034557235,0,0.016084093211752786,0,0.016084093211752786,0,0.016084093211752786,0.004166666666666667,0.0029078452699777798,112849,4479.0273556231,52496,4288.145896656535
48201554700,6733,272.3404255319149,0.03044705183424922,0.018739282604653473,0,0,0.008984725965858042,0.04495159059474412,0,0.011466455876490922,0,0.011466455876490922,0.0014852220406950838,0.0014433431766174931,0.028961829793554137,0.01865266995244481,92008,10880.243161094224,38585,2381.7629179331307
48201554801,12210,408.51063829787233,0.08558558558558559,0.022822796958499567,0.12092391304347826,0.009246088193456615,0.15575741383916644,0.053053872605207136,0.007289107289107289,0.004274755688178017,0.0010647010647010647,0.001094740849500206,0.047747747747747746,0.01785208837954453,0.026535626535626536,0.011865994808845178,65887,4627.963525835866,23829,1087.5379939209727
48201554802,12863,590.273556231003,0.030785975277928944,0.011158756810992721,0.0651685393258427,0,0.02139261744966443,0.027800022880677268,0.004509056985151209,0.005052562842002954,0,0.006001993890726376,0.003964860452460545,0.0046751806093586834,0.018891393920547308,0.007797080439646889,102761,3144.0729483282676,43239,2582.978723404255
48201554901,7399,455.3191489361702,0.0521692120556832,0.03212893196752437,0,0.03394039735099338,0.15792682926829268,0.02266139657444005,0,0.01043433537186287,0.00554128936342749,0.005741090336378618,0.03500473036896878,0.032299335766072496,0.011623192323286931,0.0045450289461781675,67472,9843.768996960485,25739,2409.726443768997
48201554902,5936,377.5075987841945,0.034535040431266845,0.02746046238399925,0.3793103448275862,0,0.15951492537313433,0.002612671456564337,0.003706199460916442,0.003576574106072166,0,0.013006005292522469,0.028807277628032344,0.02728189062194377,0.0020215633423180594,0.0020441508778851077,97237,7652.279635258358,35697,3062.613981762918
48201554903,10920,343.46504559270517,0.009615384615384616,0.005224115621130416,0,0,0.023148148148148147,0.007896625987078248,0,0.0070699310820891365,0,0.0070699310820891365,0.004578754578754579,0.004395472501116911,0.005036630036630037,0.0030019354087980977,109960,6182.978723404255,39217,1564.741641337386
48201555000,7749,289.9696048632219,0.041424699961285325,0.019550940740631902,0,0.016666666666666666,0.013630731102850062,0.058992805755395686,0,0.009963046511345124,0.001548586914440573,0.0014894076392697926,0.002839076009807717,0.002979175367925517,0.037037037037037035,0.017517878501905743,79111,5416.413373860182,26053,1418.2370820668693
48201555100,7134,269.30091185410333,0.06602186711522287,0.02407154673285475,0.25,0.1780821917808219,0.08581894296180011,0.020338983050847456,0.017241379310344827,0.014300821121708248,0.012755817213344548,0.006372737773496503,0.022988505747126436,0.015996343347832166,0.011774600504625737,0.006973236444713933,80507,7537.386018237082,29326,1497.2644376899696
48201555200,5720,246.20060790273556,0.11328671328671329,0.0388046675537018,0,0.11557788944723618,0.2582815734989648,0.03765690376569038,0,0.013497141156715626,0.004020979020979021,0.00392842740000242,0.08723776223776224,0.039035925938312004,0.022027972027972027,0.008235182630533869,53259,2259.574468085106,21591,1253.4954407294833
48201555301,1295,104.55927051671732,0.03397683397683398,0.03227380154015808,NA,NA,0,0.012416427889207259,0,0.05961671615167056,0,0.05961671615167056,0,0.05961671615167056,0.010038610038610039,0.009353406664161183,96458,13592.09726443769,40736,6101.519756838906
48201555302,6819,311.85410334346506,0.047074351077870655,0.020838957128528006,0,0,0.23556797020484171,0.013214146910221531,0,0.011321842999913971,0,0.011321842999913971,0.037102214400938555,0.019897015174284036,0.009972136676932102,0.004702802176452347,104151,7517.325227963525,39375,2237.082066869301
48201555303,3297,270.51671732522794,0.03670003033060358,0.018003591055176522,0.2809917355371901,0.02534562211981567,0,0.03762376237623762,0.010312405216863815,0.009920532884417396,0.0033363663936912345,0.0034925189819878214,0,0.02341633224640988,0.02305125872004853,0.014814582671026418,90250,10943.465045592706,36044,3501.519756838906
48201555401,2199,141.03343465045592,0.05184174624829468,0.021304832463476177,NA,0,0.09243697478991597,0.045841519318926,0,0.035108525428109764,0,0.035108525428109764,0.020009095043201454,0.0184773105545424,0.031832651205093224,0.017295963222984233,45667,6652.887537993921,33912,6972.036474164133
48201555402,8038,260.790273556231,0.11943269470017417,0.02450166180901114,0,0.0845771144278607,0.34273916035788027,0.07060642501288439,0,0.009604832970442073,0.006344861905946753,0.004987241258312352,0.06195571037571535,0.020548524242770472,0.05113212241851207,0.015947206821467042,46115,5560.48632218845,26879,2189.665653495441
48201555501,3960,303.951367781155,0.04722222222222222,0.034349224143615915,1,NA,0,0.012153318790900591,0.03737373737373737,0.0368847177536951,0,0.019495870559700347,0,0.019495870559700347,0.009848484848484848,0.0068665015732262535,74461,16871.732522796352,43981,4735.562310030395
48201555502,15040,626.7477203647417,0.04740691489361702,0.015150146309947711,0.06656804733727811,0.07535321821036106,0.07884565833548055,0.03235112301669071,0.0029920212765957447,0.003231120413947118,0.0031914893617021275,0.003109425052075385,0.020345744680851065,0.012420166873992574,0.020877659574468084,0.007752212276104909,92930,3565.9574468085107,32170,1167.7811550151976
48201555600,4058,289.9696048632219,0.10818137013307048,0.05443172337929211,NA,0,0.389413988657845,0.00911238609517381,0,0.019025048648697234,0,0.019025048648697234,0.10152784622966979,0.0532878883073862,0.00665352390340069,0.0037147876135378627,77454,5987.841945288754,37793,3079.0273556231004
48201555701,5812,201.82370820668692,0.0034411562284927736,0.0029262047420255998,0,0,0.02244668911335578,0,0,0.013283490608467546,0,0.013283490608467546,0.0034411562284927736,0.0029262047420255998,0,0.013283490608467546,105222,5807.294832826748,32545,1391.4893617021276
48201555702,7918,243.76899696048633,0.007325082091437232,0.006368315306425414,0.0919175911251981,0,0,0,0.007325082091437232,0.006368315306425414,0,0.009750397501441448,0,0.009750397501441448,0,0.009750397501441448,112625,5452.279635258358,38194,1787.8419452887538
