GEOID,Age,Race,estimate,moe
48007950400,65-74,BLACK,0,127
48007950400,65-74,LATINO,77,53.075418038862395
48007950400,65-74,WHITE,165,69.42621983083913
48007950400,75-84,API,0,127
48007950400,75-84,BLACK,0,127
48007950400,75-84,LATINO,24,27
48007950400,75-84,WHITE,122,83
48007950500,55-64,API,0,127
48007950500,55-64,BLACK,0,127
48007950500,55-64,LATINO,94,66.60330322138685
48007950500,55-64,WHITE,738,173.97126199461795
48007950500,65-74,API,0,127
48007950500,65-74,BLACK,0,127
48007950500,65-74,LATINO,103,68.01470429252781
48007950500,65-74,WHITE,526,132.32157798333574
48007950500,75-84,API,0,127
48007950500,75-84,BLACK,0,127
48007950500,75-84,LATINO,0,127
48007950500,75-84,WHITE,79,55
48007990000,55-64,API,0,127
48007990000,55-64,BLACK,0,127
48007990000,55-64,LATINO,0,127
48007990000,55-64,WHITE,0,127
48007990000,65-74,API,0,127
48007990000,65-74,BLACK,0,127
48007990000,65-74,LATINO,0,127
48007990000,65-74,WHITE,0,127
48007990000,75-84,API,0,127
48007990000,75-84,BLACK,0,127
48007990000,75-84,LATINO,0,127
48007990000,75-84,WHITE,0,127
48009020100,55-64,API,2,220.0068180761678
48009020100,55-64,BLACK,0,127
48009020100,55-64,LATINO,14,10.63014581273465
48009020100,55-64,WHITE,395,67.00746227100382
48009020100,65-74,API,0,127
48009020100,65-74,BLACK,0,127
48009020100,65-74,LATINO,2,127.06297651164952
48009020100,65-74,WHITE,232,61.61168720299745
48009020100,75-84,API,0,127
48009020100,75-84,BLACK,0,127
48009020100,75-84,LATINO,0,127
48009020100,75-84,WHITE,47,25
48009020200,55-64,API,0,127
48009020200,55-64,BLACK,0,127
48009020200,55-64,LATINO,3,127.09838708654017
48009020200,55-64,WHITE,267,56.639209034025185
48009020200,65-74,API,0,127
48009020200,65-74,BLACK,5,127.251719045363
48009020200,65-74,LATINO,6,127.39309243440164
48009020200,65-74,WHITE,282,66.60330322138685
48009020200,75-84,API,0,127
48009020200,75-84,BLACK,0,127
48009020200,75-84,LATINO,0,127
