GEOID,hh_pop,api,black,latino,white,pov_population,pov_rate,pov_asian_rate1,pov_black_rate1,pov_latino_rate1,pov_white_rate1,pov_asian_rate2,pov_black_rate2,pov_latino_rate2,pov_white_rate2,median_income,per_capita_income,nativity
48073950400,1603,0,0.5495945102932003,0.16344354335620712,0.28134747348721145,1590,0.3270440251572327,NA,0.40698869475847893,0.2918454935622318,0.13559322033898305,0,0.2490566037735849,0.042767295597484274,0.03522012578616352,28040.243179122182,19176.340450771055,0.09306930693069307
48073950500,3505,0.003708987161198288,0.3275320970042796,0.32011412268188305,0.3420827389443652,3498,0.28673527730131504,NA,0.3826839826839827,0.3688181056160939,0.10696095076400679,0,0.126357918810749,0.12578616352201258,0.036020583190394515,33856.71411625148,14525.545670225385,0.22002434570906879
48073950600,5361,0.015295653795933594,0.07144189516881179,0.1365416899832121,0.774295840328297,5346,0.12065095398428732,0,0.2907801418439716,0.2065359477124183,0.08826382153249272,0,0.023007856341189674,0.02955480733258511,0.06808829031051253,53502.00474495848,27663.59430604982,0.1008617312965139
48073950700,3427,0.004377006127808579,0.1546542165159031,0.3104756346658885,0.517362124306974,3437,0.26942100669188246,NA,0.48109965635738833,0.20689655172413793,0.2374020156774916,0,0.0814663951120163,0.06284550480069828,0.12336339831248182,34018.985765124555,15832.6512455516,0.18520675596971461
48073950800,7529,5.312790543232833e-4,0.0803559569663966,0.06415194580953645,0.8447336963740204,7517,0.14939470533457497,NA,0.24475524475524477,0.3204868154158215,0.12876280535855003,0,0.01862445124384728,0.021019023546627644,0.10868697618730877,41611.512455516015,18804.157769869515,0.03171998906207274
48073950900,2538,0.014972419227738377,0.19739952718676124,0.0338849487785658,0.7454688731284476,2557,0.22174423152131403,0.45,0.5,0.16379310344827586,0.15244536940686784,0.0035197497066875244,0.09307782557684786,0.007430582714118107,0.11458740711771608,44447.54448398577,18028.5290628707,0.01090909090909091
48073951000,3260,9.202453987730061e-4,0.24294478527607363,0.08404907975460123,0.6625766871165644,3281,0.21639743980493753,0,0.25866666666666666,0.5802816901408451,0.1375760411792232,0,0.059128314538250536,0.06278573605608047,0.08960682718683328,42608.962040332146,21750.35587188612,0.07570876288659793
48073951100,1630,0,0.12576687116564417,0.049079754601226995,0.805521472392638,1619,0.17479925880172947,0,0.390625,0.43373493975903615,0.12279355333844973,0,0.04632489190858555,0.022235948116121063,0.09882643607164916,41024.95255041518,19911.773428232504,0.026248399487836107
48075950100,793,0,0.0201765447667087,0.06557377049180328,0.9016393442622951,778,0.13239074550128535,0,0.7,0,0.09898107714701601,0,0.04498714652956298,0,0.08740359897172237,59815.71174377224,9282.23606168446,0.014565126924677487
48075950200,5141,0.0027232056020229526,0.061077611359657655,0.1840108928224081,0.7401283796926668,5115,0.18240469208211144,0.17073170731707318,0.6179401993355482,0.3302238805970149,0.1111414527580557,0.0013685239491691105,0.03636363636363636,0.06920821114369502,0.07956989247311828,39880.11862396204,22852.016607354686,0.06718241042345277
