GEOID,Age,estimate,moe
48001950902,60-64,417,125.59458587057007
48001950902,65-69,299,111.6870628139177
48001950902,70-74,235,90.13878188659973
48001950902,75-79,306,139.60659010233005
48001950902,80-84,115,65.94694837519019
48001951000,50-54,589,128.9728653632228
48001951000,55-59,508,141.59802258506295
48001951000,60-64,394,103.31989159885913
48001951000,65-69,406,112.1695145750395
48001951000,70-74,332,92.84934033152847
48001951000,75-79,176,66.60330322138685
48001951000,80-84,159,76.02631123499285
48001951100,50-54,304,99.28242543370907
48001951100,55-59,455,132.32157798333574
48001951100,60-64,366,111.67363162358427
48001951100,65-69,289,90.1665126307988
48001951100,70-74,339,76.27581530209953
48001951100,75-79,153,47.853944456021594
48001951100,80-84,111,50.47771785649585
48003950100,50-54,206,66.06814663663572
48003950100,55-59,145,55.60575509783138
48003950100,60-64,99,47.01063709417264
48003950100,65-69,47,27.748873851023216
48003950100,70-74,41,23.430749027719962
48003950100,75-79,71,30.479501308256342
48003950100,80-84,46,27.784887978899608
48003950200,50-54,235,108.90362712049586
48003950200,55-59,340,104.66135867644753
48003950200,60-64,458,150.01666574084362
48003950200,65-69,224,74.18894796396563
48003950200,70-74,150,69.77822009767804
48003950200,75-79,209,76.21679604916491
48003950200,80-84,158,97.30878685915265
48003950300,50-54,341,104.1393297462587
48003950300,55-59,203,82.75868534480233
48003950300,60-64,103,50.99019513592785
48003950300,65-69,52,31.654383582688826
48003950300,70-74,154,68.24221567329127
48003950300,75-79,87,47.634021455258214
48003950300,80-84,45,34.058772731852805
48003950400,50-54,296,86.37129152675674
48003950400,55-59,175,69.31089380465383
48003950400,60-64,141,56.55970296951709
48003950400,65-69,99,54.0277706369604
48003950400,70-74,97,57.9396237474839
48003950400,75-79,35,25.079872407968907
48003950400,80-84,39,36.76955262170047
48005000101,50-54,413,171.42053552593984
48005000101,55-59,543,155.43809056984713
48005000101,60-64,428,150.1399347275734
48005000101,65-69,395,144.9206679531943
48005000101,70-74,224,96.67471230885562
48005000101,75-79,137,71.42128534267638
48005000101,80-84,40,35.22782990761707
48005000102,50-54,351,117.61377470347595
48005000102,55-59,162,62.00806399170998
48005000102,60-64,208,67.1863081289633
48005000102,65-69,224,83.46256645946133
48005000102,70-74,88,39.698866482558415
48005000102,75-79,94,53.665631459994955
48005000102,80-84,60,38.948684188300895
48005000200,50-54,376,160.52725625263767
48005000200,55-59,570,167.621597653763
48005000200,60-64,393,120.19567379901824
48005000200,65-69,306,118.33004690272035
48005000200,70-74,135,66.2872536767062
48005000200,75-79,91,60.41522986797286
48005000200,80-84,96,60.876925020897694
48005000301,50-54,436,118.0889495253472
48005000301,55-59,309,102.55242561733974
48005000301,60-64,227,69.94998213009065
48005000301,65-69,327,111.83469944520797
48005000301,70-74,185,80.62257748298549
48005000301,75-79,225,92.20086767487604
48005000301,80-84,53,46.010868281309364
48005000302,50-54,455,103.58571330062848
48005000302,55-59,154,61.40032573203501
48005000302,60-64,170,62.489999199871974
48005000302,65-69,187,74.86654793697917
48005000302,70-74,114,65.19202405202648
48005000302,75-79,84,41.400483088968905
48005000302,80-84,69,47.16990566028302
48005000400,50-54,297,134.18271125595876
48005000400,55-59,190,102.57680049601859
48005000400,60-64,103,72.18725649309579
48005000400,65-69,331,115.99137898999219
48005000400,70-74,251,107.93516572461452
48005000400,75-79,91,51.66236541235796
48005000400,80-84,173,128.37834708392222
48005000500,50-54,443,132.24598292575845
