GEOID,pov_pop,pov_pop_se,pov_rate,pov_rate_se,median_income,median_income_se,per_capita_income,per_capita_income_se,nativity,nativity_se,npoor,nforeign_born,pop,pop_se,api,api_se,asian,asian_se,black,black_se,latino,latino_se,white,white_se,nasian,nblack,nlatino,nPI,nwhite
48029181602,5912,359.2705167173252,0.24526387009472259,0.04845220473958916,41116.140670373876,3062.1173527956357,16981.277122361178,1230.787173503616,0.1219553450608931,0.031127597303101568,5912,721,5912,359.2705167173252,0,0.018467937287036933,0,0.013058803690191708,0.05666441136671177,0.01975302007175955,0.8293301759133965,0.03768408185020623,0.08609607577807848,0.017216991044015598,0,335,4903,0,509
48029181701,15451,518.5410334346504,0.06374991909908743,0.018525883158912383,75476.71221747297,1915.3627349873811,25275.290369493374,901.9011365579764,0.07982304289286402,0.009751663781783784,15451,1245,15597,500.30395136778117,0.022632557543117268,0.007331359588140908,0.022632557543117268,0.005408076104070474,0.05962685131756107,0.010110237400680877,0.6156312111303456,0.02669744856902916,0.29550554593832146,0.014384973543832683,353,930,9602,0,4609
48029181703,7823,432.21884498480244,0.09229195960628915,0.031291764364816954,82015.39766100953,6906.606775858432,39363.1962039182,5126.710316000642,0.09229195960628915,0.01864748513615839,7823,722,7823,432.21884498480244,0.0153393838680813,0.012484283583657142,0.0153393838680813,0.007646179440753612,0.03272401891857344,0.014966368966599863,0.41493033363159915,0.050781159024741715,0.519621628531254,0.02686711168808263,120,256,3246,0,4065
48029181704,5813,395.1367781155015,0.1248924823671082,0.0463936162807459,51763.69934323683,4821.730092313165,22564.244372765537,1790.0383200279196,0.15257731958762888,0.02549723828003474,5813,888,5820,395.1367781155015,0.10309278350515463,0.0432095803543626,0.04347079037800687,0.014322158999989534,0.026288659793814433,0.01166719417487266,0.5329896907216495,0.05014077321893954,0.3214776632302406,0.026677993873309082,253,153,3102,347,1871
48029181705,4051,323.40425531914894,0.19427301900765243,0.056898605236046985,47650.05943963046,3948.805699098418,21147.35044304712,1650.9499519804244,0.1100962725253024,0.029979179818047243,4051,446,4051,323.40425531914894,0.0054307578375709705,0.019336895632414797,0.0054307578375709705,0.0032727803141673344,0.046408294248333745,0.014076654145809329,0.643051098494199,0.01776158817946404,0.2947420390027154,0.05194259369610655,22,188,2605,0,1194
48029181706,7030,424.3161094224924,0.18421052631578946,0.0489061865003595,50868.75624717415,5650.464951929492,23766.637959885706,1579.2325122059349,0.08165007112375533,0.017667704369811046,7030,574,7030,424.3161094224924,0.01678520625889047,0.01388760831067187,0.01678520625889047,0.00850063262588571,0.0972972972972973,0.01800392045671959,0.6450924608819346,0.042199082500226956,0.23940256045519204,0.0300885800033902,118,684,4535,0,1683
48029181711,7170,316.7173252279635,0.07559274755927475,0.034174861582739725,91315.17918121349,7073.947468665574,31970.084395698643,2074.734823375136,0.09135285913528592,0.016041640170375227,7170,655,7170,316.7173252279635,0.029707112970711297,0.01435295390918588,0.029707112970711297,0.009490321915858859,0.08800557880055788,0.02847773712296632,0.41143654114365413,0.03267564485627816,0.3887029288702929,0.031872206364123995,213,631,2950,0,2787
48029181712,3908,193.9209726443769,0.06908904810644831,0.026220909562713477,70755.32134317157,10858.310149291172,27534.693978194904,1695.8639041624278,0.07318321392016376,0.028545078829547824,3908,286,3908,193.9209726443769,0.01791197543500512,0.021328608511209487,0.01791197543500512,0.008039796012971629,0.03480040941658137,0.02092858900693834,0.5255885363357216,0.05269868721044199,0.42374616171954965,0.03849804361670736,70,136,2054,0,1656
48029181713,7361,456.53495440729483,0.06860480912919441,0.030341873041653297,75414.74545183349,5465.013794532831,28859.82942802407,1847.267388130795,0.04026572668112798,0.01358766344123124,7361,297,7376,456.53495440729483,0.004473969631236443,0.010970261828899541,0.004473969631236443,0.0032850017386938535,0.08744577006507592,0.030512209104842262,0.5752440347071583,0.031771446962892906,0.2768438177874187,0.02874067984616829,33,645,4243,0,2042
48029181714,11963,479.0273556231003,0.0990554208810499,0.031203550525459506,67013.48203340216,5316.507984898787,26002.208197187432,1203.98368591113,0.09735767275152121,0.018003693247999976,11963,1168,11997,483.8905775075988,0.013586730015837293,0.00836428905548426,0.013586730015837293,0.005343120725260889,0.054930399266483285,0.013346570851921577,0.5473868467116779,0.03429858890060432,0.362173876802534,0.016775899595722742,163,659,6567,0,4345
48029181715,6968,401.82370820668694,0.09357060849598163,0.03606576533244966,66008.90542890037,3761.181285951015,23459.18746882822,1427.8290282375676,0.06716417910447761,0.024459664879195927,6968,468,6968,401.82370820668694,0,0.015669122451343623,0,0.011079742740587453,0.06558553386911596,0.01926165809066342,0.6776693455797933,0.044634381067785237,0.2573191733639495,0.02827317207336365,0,457,4722,0,1793
48029181716,7508,367.1732522796353,0.2052477357485349,0.054958364599755775,56911.70756559474,6092.360287913721,20142.77383854533,1376.3953088033377,0.08101299390082206,0.01614781516276637,7508,611,7542,370.2127659574468,0.0022540440201538055,0.010362060003624577,0.0022540440201538055,0.0016082449631436404,0.07239459029435164,0.019097346400896057,0.6604348979050649,0.03813710371309422,0.2649164677804296,0.027909280910836737,17,546,4981,0,1998
48029181717,9387,339.8176291793313,0.04548844146159582,0.016301333786253383,80498.40357141192,2985.328982936081,26785.13444767103,1077.9348523680876,0.09854053478214551,0.0167556690047606,9387,925,9387,339.8176291793313,0.03377010759561095,0.014213711797425711,0.03377010759561095,0.01159252935470148,0.07318632150846915,0.01996535885935517,0.5475657824651113,0.033570043761121576,0.3307766059443912,0.027064707828370255,317,687,5140,0,3105
48029181718,5010,308.20668693009117,0.023353293413173652,0.014123650860809307,80343.48665731319,6799.392825488488,33601.478668015305,2220.3429586748575,0.06649716409153139,0.019099493675312065,5010,340,5113,339.8176291793313,0.01916682964991199,0.019935227957420514,0.01916682964991199,0.013016104677057213,0.025425386270291415,0.010084245693401732,0.4742812438881283,0.04728820950478605,0.4701740661060043,0.029768725505620444,98,130,2425,0,2404
48029181719,9059,327.6595744680851,0.05541450491224197,0.0170615128544081,94974.79335965357,4179.895227260662,29925.18112959536,1532.8697228567696,0.11833150384193195,0.022197213990894027,9059,1078,9110,345.8966565349544,0.05115257958287596,0.021713435091538898,0.05115257958287596,0.01999135666379374,0.0721185510428101,0.02252206763799985,0.4349066959385291,0.03866047626467284,0.4275521405049396,0.048890228059868285,466,657,3962,0,3895
48029181801,7588,390.27355623100306,0.14536109646810755,0.023599166932044485,56705.54890298643,6244.488190465668,36636.658515780495,2175.429006492854,0.1316552451238798,0.023427824092938112,7588,999,7588,390.27355623100306,0.07920400632577754,0.031073725111336437,0.07920400632577754,0.02936081013597189,0.05100158144438587,0.019290089899447534,0.4345018450184502,0.0322736709396255,0.422772799156563,0.023539131546150394,601,387,3297,0,3208
48029181803,7346,387.2340425531915,0.09814865232779744,0.021906108401403935,70960.2883372099,7525.260246236354,38278.777805227066,3372.168506568177,0.13476722025592158,0.03214320025271085,7346,990,7346,387.2340425531915,0.07432616389872039,0.02521565972951288,0.07432616389872039,0.022921113485915898,0.07037843724475905,0.0338084983776841,0.36836373536618566,0.03578566999066325,0.47699428260277704,0.04262231789938663,546,517,2706,0,3504
48029181806,7673,341.03343465045594,0.3727355662713411,0.04404801086109641,46295.132275551536,6742.888175969193,26918.60132750994,2606.458063723373,0.11137922275844551,0.020868775146534804,7673,877,7874,396.96048632218844,0.08864617729235459,0.02339443564278353,0.08356616713233427,0.022931771867658057,0.06756413512827025,0.019703535621384646,0.42037084074168146,0.03777227581543667,0.43573787147574294,0.034062873144619796,658,532,3310,40,3431
48029181807,7051,234.04255319148936,0.08041412565593532,0.023645193283220414,84865.86888042622,4705.823118940253,40093.689037322234,1837.1255279606653,0.11246631683449156,0.022102375159311235,7051,793,7051,234.04255319148936,0.0737484044816338,0.0220648080478043,0.0737484044816338,0.019156413293479776,0.02155722592540065,0.01239433813561107,0.45922564175294284,0.03236985263862235,0.45667281236704016,0.025089584510949822,520,152,3238,0,3220
48029181808,1491,149.54407294832828,0.13212608987256874,0.05384236638443311,59697.828682231964,6966.00909971205,30388.74020332157,4908.66032234285,0.12541918175720992,0.06755073143554555,1491,187,1491,149.54407294832828,0.026156941649899398,0.05386866746221164,0.026156941649899398,0.014855572499114069,0,0.05177977693924438,0.5345405767940979,0.07792851686188626,0.43930248155600266,0.03880197938365132,39,0,797,0,655
48029181809,6414,328.2674772036474,0.15325849703772998,0.04836808141255431,47398.61737136252,5091.2138054051875,22764.4446925239,1519.1057697687363,0.12862488306828812,0.024531439710212478,6414,825,6414,328.2674772036474,0.021203617087620828,0.016655479422785273,0.021203617087620828,0.011511815496406364,0.052541315871531026,0.014827757364112421,0.5891799189273464,0.0559923180762629,0.32959151855316493,0.0293308845055431,136,337,3779,0,2114
48029181810,8268,313.06990881458967,0.05079825834542816,0.01502346723248852,76086.84652530799,8079.440462675591,33532.36189095587,1853.7871553830216,0.07849540396710208,0.011361174492631665,8268,649,8268,313.06990881458967,0.06059506531204644,0.01840751669148382,0.06059506531204644,0.01586332436350975,0.04716981132075472,0.011776334460324845,0.4202951136913401,0.038928743375056134,0.4644412191582003,0.0311058818466982,501,390,3475,0,3840
48029181811,4510,167.17325227963525,0.038580931263858094,0.016382073549379098,76949.61456998093,7537.575362157225,33031.861091559964,1773.3766926055632,0.07760532150776053,0.02015751877400868,4510,350,4510,167.17325227963525,0.04368070953436807,0.02473449348533396,0.04368070953436807,0.01785379804187896,0.04767184035476718,0.028115627250898598,0.4407982261640798,0.026821113033481447,0.44878048780487806,0.03462654947217397,197,215,1988,0,2024
48029181812,14722,484.4984802431611,0.08823529411764706,0.021941263988928983,82569.52354605499,3426.49990033673,33152.219617128976,1419.8604238181797,0.11559521395254513,0.01767439676656356,14722,1710,14793,485.7142857142857,0.0500236598391131,0.011220715675453019,0.0500236598391131,0.00993313740400613,0.07057392009734334,0.013194697661534952,0.3862637734063408,0.03214880396157854,0.48718988710876765,0.019936154006586833,740,1044,5714,0,7207
48029181900,7025,458.96656534954406,0.138220640569395,0.03269729921843422,112473.25464139052,7297.792810992012,49705.68772286365,3295.3801367086226,0.12698637911464244,0.020019531190947133,7025,895,7048,460.790273556231,0.09449489216799092,0.023542565328411293,0.09449489216799092,0.020838971079821765,0.04228149829738933,0.01466327332290188,0.28121452894438137,0.03211111486381654,0.5571793416572077,0.04250282907338313,666,298,1982,0,3927
48029182000,13103,504.55927051671733,0.029229947340303746,0.009350514597610802,124401.857026993,4949.227763023369,43951.1201983807,1779.8964598577895,0.10176555277714631,0.014847158308514598,13103,1343,13197,503.3434650455927,0.06281730696370387,0.010726780081817246,0.06281730696370387,0.008991120582430323,0.05304235811169205,0.016226990200869155,0.3074941274532091,0.021883762341665645,0.5584602561188149,0.019641865384363143,829,700,4058,0,7370
48029182101,5408,101.51975683890578,0.017381656804733726,0.009324160778931284,151018.96620629542,5758.403320883015,65927.87196614104,3994.4440698640014,0.01904585798816568,0.007529973263758574,5408,103,5408,101.51975683890578,0,0.020189061620000434,0,0.014275822377295373,0,0.014275822377295373,0.0628698224852071,0.015467349969170171,0.9130917159763313,0.018597647195071614,0,0,340,0,4938
48029182102,3266,197.56838905775075,0.015615431720759338,0.009071352685953707,133025.9624680125,9819.493900436442,52414.350382451514,4094.4138343981385,0.09552969993876301,0.039464513550818765,3266,312,3266,197.56838905775075,0.013472137170851195,0.0254603538235765,0.013472137170851195,0.009457615927416257,0,0.023638593820089825,0.25964482547458667,0.04498637687191904,0.7268830373545622,0.005381995977282212,44,0,848,0,2374
48029182103,1647,146.50455927051672,0.058287795992714025,0.04398711947340957,95128.51860518233,5950.3742455319025,45763.64809333588,5842.435876578378,0.06132361870066788,0.023577748579239808,1647,101,1647,146.50455927051672,0,0.06629170931448837,0,0.046875317192722143,0,0.046875317192722143,0.36065573770491804,0.04647436087684465,0.639344262295082,0.04990833765289303,0,0,594,0,1053
48029182104,5173,228.57142857142856,0.02377730523873961,0.014180393694194274,125354.00021441522,10631.567132630411,43212.28568498674,2576.032483212983,0.04921829762594094,0.013125379330166604,5173,255,5181,229.1793313069909,0.03126809496236248,0.018771109328789688,0.03126809496236248,0.011415153702262629,0.012738853503184714,0.007017397244826736,0.3649874541594287,0.035966403674020625,0.5763366145531751,0.038000323654992084,162,66,1891,0,2986
48029190100,3686,293.00911854103344,0.2813347802495931,0.06206237304071064,35489.08168287988,5733.773089041272,18866.496800085766,1845.094132380053,0.23817649926864945,0.049080760325118045,3686,977,4102,325.2279635258359,0.007557289127254997,0.005482581661754463,0.0029254022428083864,0.0028061675839309843,0.02925402242808386,0.011172937218587713,0.8469039492930278,0.033714392992146076,0.11628473915163334,0.026448279347156132,12,120,3474,19,477
48029190200,3946,368.3890577507599,0.15179929042067916,0.035646034160308426,38580.2699534346,6427.766092111586,39295.27109542876,4701.476607438769,0.20916334661354583,0.07193869323672258,3946,840,4016,376.2917933130699,0,0.027186863854821303,0,0.019224015790939585,0.017679282868525898,0.011690092864737099,0.609312749003984,0.06327127296057918,0.3500996015936255,0.011662442310748998,0,71,2447,0,1406
48029190300,71,28.57142857142857,0,1.0873753157241322,164599.2212299044,74066.00482245834,37997.54402270937,40024.85116141747,0.19753086419753085,0.14714198179334784,71,48,243,174.46808510638297,0,0.4493104742426434,0,0.31771048319511674,0,0.31771048319511674,0.27983539094650206,0.19885990434621062,0.5061728395061729,0.43698762086034454,0,0,68,0,123
48029190400,2234,106.38297872340425,0.10474485228290063,0.03612050886550146,77018.73134704038,3637.3057081587144,35446.18161436023,5951.098664115483,0.06219895287958115,0.01588287163446699,2234,297,4775,392.7051671732523,0.05005235602094241,0.02286065694806065,0.05005235602094241,0.016161547270976732,0.02136125654450262,0.008606890006946135,0.1618848167539267,0.021404477565564167,0.7581151832460733,0.021871075929604158,239,102,773,0,3620
48029190501,2406,234.65045592705167,0.1396508728179551,0.049186725592081974,37058.509189557044,6847.204452004814,22684.602898334553,2841.169684803521,0.1662510390689942,0.049330706989631934,2406,400,2406,234.65045592705167,0.005818786367414797,0.032748584807174755,0.005818786367414797,0.00654463232757371,0.012884455527847049,0.01180840302505533,0.7684954280964256,0.0666633725377462,0.20781379883624274,0.03758318572114469,14,31,1849,0,500
48029190502,5935,443.161094224924,0.1983150800336984,0.03885944726618169,32608.81874921342,2932.44642633469,18156.26233237157,1603.138325464098,0.25382160255333447,0.04800358741123805,5935,1511,5953,442.5531914893617,0.018646060809675794,0.015637162438928123,0.01629430539223921,0.015474450685211765,0.006551318662859062,0.003643809000408698,0.8399126490844953,0.05267903828867694,0.1394254997480262,0.020619903863686003,97,39,5000,14,830
48029190601,3850,246.20060790273556,0.15038961038961038,0.03877298976024942,38161.994285368026,6639.296318517151,15186.624255955849,853.3650914580693,0.345974025974026,0.048147369740861944,3850,1332,3850,246.20060790273556,0,0.028359076685964248,0,0.020052895432834644,0,0.020052895432834644,0.9496103896103896,0.03209379814261866,0.03038961038961039,0.00846409147153013,0,0,3656,0,117
48029190602,7164,524.6200607902736,0.25432719151312116,0.05010961504349971,34416.57996988864,2894.776659988493,15663.291683951951,1306.126706196009,0.180364344319288,0.0271901137253607,7164,1297,7191,526.4437689969604,0.010568766513697678,0.013538856392383213,0.010568766513697678,0.008248377852071175,0.025726602697816715,0.023001513535721715,0.8737310527047698,0.04072595428417928,0.08997357808371576,0.02238303975756169,76,185,6283,0,647
48029190700,3127,203.03951367781156,0.24688199552286536,0.04670426229400972,40682.37331089742,3284.5138579549116,22035.143527689863,1711.0766944176228,0.09111111111111111,0.025752430784445134,3127,287,3150,208.51063829787233,0.013015873015873015,0.02661868893871789,0.013015873015873015,0.01038551354677485,0.1019047619047619,0.03623766186391002,0.6104761904761905,0.03228012660432577,0.2822222222222222,0.03531062750060976,41,321,1923,0,889
48029190800,1710,79.0273556231003,0.06023391812865497,0.015030846775920526,142404.39411383585,21915.835409067036,84714.52697203745,8285.17534041251,0.037187681580476466,0.013060338871665371,1710,64,1721,81.45896656534954,0.005810575246949448,0.045026875210684304,0.005810575246949448,0.003875745113794606,0,0.04485976026520243,0.11911679256246369,0.029130425059833775,0.8704241719930274,0.029830069133511862,10,0,205,0,1498
48029190901,4236,378.11550151975683,0.1619452313503305,0.04313443873794953,42129.05895486559,2492.724346101202,31075.141299635958,2896.949915739235,0.18012275731822475,0.05589993987927247,4236,763,4236,378.11550151975683,0,0.02577489264423096,0,0.018225601373090976,0.06185080264400378,0.02567520823001861,0.634324834749764,0.05823805068345566,0.29414542020774315,0.025901309744922624,0,262,2687,0,1246
48029190902,4102,184.80243161094225,0.05948317893710385,0.031303195190588856,63502.826426210864,4827.525440981811,30598.473871639857,2467.3696956758777,0.1382488479262673,0.03606843196193705,4102,570,4123,184.80243161094225,0,0.026481310997080367,0,0.01872511458074542,0.00218287654620422,0.002209462408385387,0.7050691244239631,0.043194907816998765,0.28813970409895706,0.034681196184778176,0,9,2907,0,1188
48029191002,8288,596.3525835866261,0.17989864864864866,0.07130170900914143,40445.23126546936,4091.516160063816,17401.936127567737,1565.4685591179013,0.2670125482625483,0.05004449843883108,8288,2213,8288,596.3525835866261,0,0.013173557582162446,0,0.009315111898698525,0,0.009315111898698525,0.8851351351351351,0.043301313974873544,0.107746138996139,0.02745863458676532,0,0,7336,0,893
48029191003,7011,714.8936170212766,0.3424618456710883,0.09985259713740617,36132.582710674615,3368.5464136502737,18345.737635000023,2073.285986207975,0.23177863357580944,0.0884787835389818,7011,1625,7011,714.8936170212766,0.02738553701326487,0.013844859764066861,0.02738553701326487,0.008391701939264884,0.09599201255170446,0.08946803168168013,0.6385679646270147,0.08488073575416547,0.22764227642276422,0.01011049371848034,192,673,4477,0,1596
48029191004,4118,353.1914893617021,0.39825157843613407,0.07786736579932947,31803.250795900007,2716.5696884276404,15652.56666682204,1337.2767052899794,0.2370082564351627,0.05091225425958491,4118,976,4118,353.1914893617021,0.010927634774162214,0.019818996760732288,0.010927634774162214,0.0064273433714185455,0.022826614861583293,0.014333760067773916,0.8237008256435163,0.048371595362722515,0.1270033997085964,0.025846380958082903,45,94,3392,0,523
48029191101,1802,63.829787234042556,0.02774694783573807,0.014472668990020471,109434.49978791537,13735.700763273728,52831.4343819481,6579.893994663534,0.02386237513873474,0.016525389687348728,1802,43,1802,63.829787234042556,0,0.06058959225358621,0,0.04284331155183872,0,0.04284331155183872,0.4195338512763596,0.05153881532076113,0.5804661487236404,0.050999106832075064,0,0,756,0,1046
48029191102,2380,65.65349544072949,0.0995798319327731,0.0364218064212647,79940.70268065648,12000.718255597943,50588.71413322644,6463.987021290621,0.0865546218487395,0.024428423855057856,2380,206,2380,65.65349544072949,0.010084033613445379,0.007541696284485785,0.0029411764705882353,0.0030639817912795925,0.02142857142857143,0.013013068360247125,0.3869747899159664,0.045769135365415534,0.5857142857142857,0.042497174942496545,7,51,921,17,1394
48029191200,9453,742.2492401215806,0.11086427589125146,0.0298829305546205,68761.65982557787,8106.243950268078,28250.886788759046,2359.431326722353,0.08965169106511862,0.023778084313233323,9453,888,9905,782.370820668693,0.007370015143866734,0.008910770089372582,0.007370015143866734,0.004318445389205009,0.035840484603735484,0.012321880866056362,0.49207470974255424,0.06819821219196182,0.4512872286723877,0.008206514825156734,73,355,4874,0,4470
48061012611,1814,158.66261398176292,0.19128996692392503,0.07214626352395183,47787.10132517934,3937.215001761126,19152.497256883427,2064.5929632050065,0.17916207276736493,0.03725552749744687,1814,325,1814,158.66261398176292,0,0.060188779074400414,0,0.042559893834847505,0,0.042559893834847505,0.9106945975744212,0.050227194032315736,0.08930540242557883,0.018527785332299096,0,0,1652,0,162
48061012612,6631,238.90577507598783,0.09938169205248078,0.028839830495155178,61631.906771326154,5840.987039411216,20358.465849713568,927.9802055668818,0.21882035119315624,0.02474881385946351,6631,1458,6663,240.72948328267478,0.0015008254539997,0.011656983478628742,0.0015008254539997,0.0012761467882699527,0,0.011586919918417135,0.9125018760318175,0.014327659987415966,0.07143929161038572,0.01325389001396352,10,0,6080,0,476
48061012613,4818,513.677811550152,0.17995018679950187,0.06168599818866134,73346.00881433039,3638.754545325876,25263.37368379347,2367.3999311417406,0.26724673710379115,0.038106224198347,4818,1290,4827,513.0699088145897,0.021959809405427803,0.020144761847717775,0.021959809405427803,0.012247422396142866,0.002486016159105034,0.002378186922168647,0.8887507768800498,0.03465984625317924,0.07085146053449347,0.012811134805099343,106,12,4290,0,342
48061012700,5881,410.3343465045593,0.2948478149974494,0.05021724054309409,32381.210052345283,3585.147570140904,10178.041256286793,783.8209074343217,0.2668024439918534,0.035199749447719426,5881,1572,5892,409.72644376899694,0,0.01853062546520067,0,0.013103130926071516,0,0.013103130926071516,0.9300746775288526,0.02974812631006246,0.05210454854039375,0.02282523682111652,0,0,5480,0,307
48061012800,3898,342.85714285714283,0.3776295536172396,0.07209647738168913,31090.632991045833,6077.147497658525,11649.751940224764,1161.967408063449,0.3566326530612245,0.03882786091915206,3898,1398,3920,348.32826747720367,0,0.027852664602286314,0,0.019694808014391166,0,0.019694808014391166,0.9846938775510204,0.011402097589746417,0.015306122448979591,0.010613538016968559,0,0,3860,0,60
48061012900,4063,264.43768996960483,0.23800147674132416,0.04069047792282429,49516.212420235206,5861.995178335057,25160.890186774308,2565.166204459273,0.2676282051282051,0.03835122611926776,4063,1169,4368,295.44072948328267,0.008928571428571428,0.019421418787948536,0.008928571428571428,0.008049346142859518,0.007097069597069597,0.004427553972800146,0.8127289377289377,0.04555723811511433,0.17353479853479853,0.03876083206252747,39,31,3550,0,758
48061013002,4506,300.91185410334344,0.1640035508211274,0.04273431634271779,46752.73300642779,2828.854568882649,24225.430359331956,3079.5033988015725,0.2334664891256103,0.03318888650349183,4506,1052,4506,300.91185410334344,0.02885042166000888,0.012287929221692698,0.02596537949400799,0.012017413639077892,0.018863737239236573,0.012347591326610301,0.8040390590324012,0.052377697681456246,0.1511318242343542,0.026038753538274895,117,85,3623,13,681
48061013003,2387,209.11854103343464,0.44616673648931715,0.06236324270227502,20109.407118585605,2948.383635173465,9690.648811160778,1264.8348469319092,0.22646822204344327,0.03810835357914625,2387,563,2486,258.96656534954406,0.018101367658889783,0.033504723059817394,0.018101367658889783,0.012574995885878678,0.025341914722445697,0.023079911537421414,0.9477071600965407,0.02241630556836759,0.016090104585679808,0.009636540166273829,45,63,2356,0,40
48061013004,2838,260.18237082066867,0.20648343904157856,0.06632417353064125,42233.92578902474,7402.109087027633,20176.14055850506,2644.1278300695694,0.3118393234672304,0.048437744525586614,2838,885,2838,260.18237082066867,0,0.038471615659253826,0,0.02720354031586095,0,0.02720354031586095,0.9383368569415081,0.05104995840729773,0.061663143058491895,0.020438502779606856,0,0,2663,0,175
48061013102,3436,198.7841945288754,0.25844004656577413,0.06300349998383928,51390.70708082988,5361.4219370807905,19695.898124798987,1497.373212261315,0.3087892898719441,0.04324681828778475,3436,1061,3436,198.7841945288754,0,0.03177603179306238,0,0.02246904756007374,0.002619324796274738,0.002649494510488774,0.8533178114086146,0.026613925162807778,0.12660069848661235,0.03750662292241424,0,9,2932,0,435
48061013104,3953,233.43465045592706,0.2547432329876044,0.05916934784602987,39513.34644373698,9830.360179190153,21059.16696886784,1561.122047616417,0.2527194535795598,0.03764406838529268,3953,999,3953,233.43465045592706,0.015684290412345054,0.02199076887529691,0.015684290412345054,0.010107305604342469,0,0.019530393983408393,0.835820895522388,0.036193435117069434,0.1477358967872502,0.021851554344269178,62,0,3304,0,584
