GEOID,pov_population,pov_population_se,pov_rate,pov_rate_se,pov_asian_rate1,pov_black_rate1,pov_latino_rate1,pov_white_rate1,pov_asian_rate2,pov_asian_rate2_se,pov_black_rate2,pov_black_rate2_se,pov_latino_rate2,pov_latino_rate2_se,pov_white_rate2,pov_white_rate2_se,median_income,median_income_se,per_capita_income,per_capita_income_se,nativity,nativity_se,pop,api,black,latino,white
48039661800,6965,453.4954407294833,0.07824838478104809,0.025594458001958854,0.31456953642384106,0.09242424242424242,0.020532741398446172,0.07025697102241663,0.027279253409906678,0.01639995103805817,0.008758076094759511,0.005995236960208301,0.005312275664034458,0.003999936738587673,0.03689877961234745,0.01799449195232894,88463,6337.386018237082,36947,3621.276595744681,0.15988538681948425,0.020461263115540227,6980,0.08653295128939828,0.09484240687679082,0.2593123209169054,0.5247851002865329
48273020500,7417,430.3951367781155,0.24821356343535123,0.06539450092438846,0.6380368098159509,0.23480662983425415,0.2787229573618988,0.12142857142857143,0.028043683429958204,0.01474536675325987,0.011460159093973304,0.006110977073418641,0.17891330726708912,0.06050431662763405,0.029796413644330593,0.018277603862610656,47386,4725.227963525836,22215,2182.978723404255,0.08188453881884539,0.01937791253510025,7535,0.043264764432647644,0.05056403450564034,0.6380889183808892,0.2484406104844061
48273020400,5795,373.86018237082067,0.19810181190681622,0.04128644673846883,0,0.38666666666666666,0.15647118301314458,0.23459715639810427,0,0.0019931237231551146,0.01000862812769629,0.006366315130291429,0.10681622088006902,0.027688478260674727,0.051251078515962036,0.023899655537246597,46053,3605.471124620061,32419,5544.072948328268,0.057535641547861505,0.019776642478196715,5892,0.01883910386965377,0.025458248472505093,0.681602172437203,0.22114731839782756
48273020200,4383,353.79939209726444,0.4275610312571298,0.06709403549317507,0,1,0.42736446843463977,0.08955223880597014,0,0.0019417381469021995,0.018252338580880677,0.014070018971084376,0.41546885694729635,0.06634628521963289,0.0013689253935660506,0.0019385913973980027,24959,5001.215805471124,16369,1372.644376899696,0.05223214285714286,0.023036249578725295,4480,0.0017857142857142857,0.024107142857142858,0.9654017857142857,0.01763392857142857
48273020300,6134,418.2370820668693,0.3659928268666449,0.0653657933971066,1,0.5298804780876494,0.37146297411198076,0.05891016200294551,0.03765895011411803,0.018553784615915316,0.021682425823280078,0.011300644726617947,0.3017606781871536,0.06728831060989213,0.006521030322791001,0.004537040564318825,35309,7539.209726443769,16877,1733.7386018237082,0.09295589203423305,0.027653576999620566,7595,0.030414746543778803,0.04595128373930217,0.7986833443054642,0.12442396313364056
48489950300,6915,381.7629179331307,0.3628344179320318,0.06300101948187309,NA,NA,0.35576022478926006,0.4518664047151277,0,0.0016703039733454651,0,0.0016703039733454651,0.32957339117859724,0.06034875444353921,0.033261026753434564,0.018281352823521807,33224,8139.817629179332,13875,1521.580547112462,0.11407556965676377,0.024822800951870665,6934,0,0,0.9265935967695413,0.0734064032304586
48489950400,5699,364.1337386018237,0.18266362519740306,0.030596751097952922,NA,1,0.18623647130896467,0.16084788029925187,0,0.0020266980129292666,0.0033339182312686435,0.003192951598034848,0.1600280751008949,0.029421022668030178,0.02263555009650816,0.0080851219141204,35536,3073.5562310030396,13114,1095.4407294832827,0.15568948199167743,0.027228417175781727,6969,0,0.019801980198019802,0.8575118381403358,0.1254125412541254
48489950500,3199,145.89665653495442,0.2397624257580494,0.03639876446804367,NA,NA,0.26673827425707125,0.054187192118226604,0,0.002660405844911641,0,0.002660405844911641,0.2328852766489528,0.0384666892290758,0.006877149109096593,0.0060728335489466925,37625,6945.896656534955,16497,1565.9574468085107,0.183990071362085,0.029292243178274207,3223,0,0,0.8740304064536146,0.12596959354638534
48489950600,2189,206.0790273556231,0.24120603015075376,0.0694174686302094,NA,NA,0.2526854219948849,0.1452991452991453,0,0.0038879115111340066,0,0.0038879115111340066,0.22567382366377342,0.07045918235019162,0.015532206486980357,0.013249538030711843,42321,11588.449848024316,18388,2419.452887537994,0.1946094106898127,0.05420728472270148,2189,0,0,0.8931018730013704,0.10689812699862951
48489950700,2273,225.53191489361703,0.2740871095468544,0.05277817180902008,NA,NA,0.3204715969989282,0.06188118811881188,0,0.0037442315432786367,0,0.0037442315432786367,0.2630884293884734,0.05243159337254877,0.010998680158380994,0.005236391098941046,32083,5615.197568389058,17762,1689.9696048632218,0.14342278926528818,0.030702895256413426,2273,0,0,0.8209414870215574,0.17773867135943686
