Year,MSA,Race,Age,Pop
2006,Dallas,A,75-79,45
2007,Dallas,A,50-54,389
2007,Dallas,A,55-59,240
2007,Dallas,A,60-64,190
2007,Dallas,A,65-69,102
2007,Dallas,A,70-74,64
2007,Dallas,A,75-79,50
2008,Dallas,A,50-54,432
2008,Dallas,A,55-59,275
2008,Dallas,A,60-64,219
2008,Dallas,A,65-69,118
2008,Dallas,A,70-74,74
2008,Dallas,A,75-79,53
2009,Dallas,A,50-54,478
2009,Dallas,A,55-59,315
2009,Dallas,A,60-64,248
2009,Dallas,A,65-69,127
2009,Dallas,A,70-74,71
2009,Dallas,A,75-79,50
2010,Dallas,A,50-54,521
2010,Dallas,A,55-59,335
2010,Dallas,A,60-64,260
2010,Dallas,A,65-69,149
2010,Dallas,A,70-74,82
2010,Dallas,A,75-79,60
2011,Dallas,A,50-54,592
2011,Dallas,A,55-59,375
2011,Dallas,A,60-64,272
2011,Dallas,A,65-69,166
2011,Dallas,A,70-74,98
2011,Dallas,A,75-79,68
2012,Dallas,A,50-54,629
2012,Dallas,A,55-59,421
2012,Dallas,A,60-64,281
2012,Dallas,A,65-69,190
2012,Dallas,A,70-74,106
2012,Dallas,A,75-79,83
2013,Dallas,A,50-54,708
2013,Dallas,A,55-59,454
2013,Dallas,A,60-64,317
2013,Dallas,A,65-69,228
2013,Dallas,A,70-74,125
2013,Dallas,A,75-79,89
2014,Dallas,A,50-54,751
2014,Dallas,A,55-59,502
2014,Dallas,A,60-64,334
2014,Dallas,A,65-69,254
2014,Dallas,A,70-74,144
2014,Dallas,A,75-79,102
2015,Dallas,A,50-54,791
2015,Dallas,A,55-59,554
2015,Dallas,A,60-64,372
2015,Dallas,A,65-69,281
2015,Dallas,A,70-74,156
2015,Dallas,A,75-79,101
2016,Dallas,A,50-54,803
2016,Dallas,A,55-59,632
2016,Dallas,A,60-64,417
2016,Dallas,A,65-69,301
2016,Dallas,A,70-74,178
2016,Dallas,A,75-79,118
2017,Dallas,A,50-54,886
2017,Dallas,A,55-59,701
2017,Dallas,A,60-64,455
2017,Dallas,A,65-69,305
2017,Dallas,A,70-74,218
2017,Dallas,A,75-79,121
2018,Dallas,A,50-54,974
2018,Dallas,A,55-59,773
2018,Dallas,A,60-64,493
2018,Dallas,A,65-69,353
2018,Dallas,A,70-74,241
2018,Dallas,A,75-79,142
1999,El Paso,A,50-54,70
1999,El Paso,A,55-59,37
1999,El Paso,A,60-64,29
1999,El Paso,A,65-69,26
1999,El Paso,A,70-74,26
