Year,MSA,Age,zone,pop,lwr,upr,CV,.width
2006,Dallas,55-64,1,50461.21748716721,35310.18965852907,66578.99371159222,0.6196601193979341,0.9
2007,Dallas,55-64,1,54569.08837988382,43205.18759596399,66619.30889821178,0.42907297881265505,0.9
2008,Dallas,55-64,1,58184.871217947475,47980.79434440534,68848.5776948231,0.3586462067132835,0.9
2009,Dallas,55-64,1,61137.637902409595,48676.43678022526,73261.41056281017,0.4021250186640912,0.9
2010,Dallas,55-64,1,63433.938391217605,49019.296144710555,77538.9532769746,0.44959619181098454,0.9
2011,Dallas,55-64,1,65156.06741155869,51767.14536933673,79003.2520818587,0.4180133607586374,0.9
2012,Dallas,55-64,1,66691.58637665282,55738.74678957434,78149.66286921896,0.33603813160291174,0.9
2013,Dallas,55-64,1,67556.63123560621,57493.15004397393,77666.40517045197,0.29861250860960004,0.9
2014,Dallas,55-64,1,68221.56068868758,56621.9176158098,79344.82139657965,0.3330751092672926,0.9
2015,Dallas,55-64,1,68865.60634366373,56770.58446559191,81261.33765050775,0.3556311268457917,0.9
2016,Dallas,55-64,1,69232.2141880418,56701.177810785965,81859.60137496186,0.3633918669110168,0.9
2017,Dallas,55-64,1,69531.87747875291,59092.99675362267,80197.35212621283,0.3035205741285944,0.9
2018,Dallas,55-64,1,69574.48666977968,57438.78792795172,81164.23360657283,0.34100784374060605,0.9
2019,Dallas,55-64,1,69831.6045342059,53780.205735913594,85767.40205229454,0.4580618837236158,0.9
1999,Dallas,65-74,0,14144.305697936144,1788.0847454241043,31855.7266062644,2.1257771503925844,0.9
2000,Dallas,65-74,0,10141,10141,10141,0,0.9
2001,Dallas,65-74,0,17163.090223170733,3610.9898502234432,34714.97146607275,1.8122599841523823,0.9
2002,Dallas,65-74,0,21834.08977239126,4529.531978077253,44059.16940878745,1.8104550197780431,0.9
2003,Dallas,65-74,0,25042.38091330184,5658.198437262058,49662.64759369164,1.7571990981518697,0.9
2004,Dallas,65-74,0,27536.602613948002,6548.691571699536,52638.5731453906,1.6737679015764038,0.9
2005,Dallas,65-74,0,29212.471666460424,9117.04493634776,52166.52816975819,1.4736679499405942,0.9
2006,Dallas,65-74,0,30546.72453971916,12787.174757275105,49732.0920605666,1.2094559354556305,0.9
2007,Dallas,65-74,0,32292.192741661987,17541.613901752637,47461.30366374182,0.926530136907925,0.9
2008,Dallas,65-74,0,34498.52798618819,20853.71480801871,48002.6189196239,0.786958334062094,0.9
2009,Dallas,65-74,0,37278.10672995987,22846.459904314917,51575.976429859744,0.7706806768288834,0.9
2010,Dallas,65-74,0,39928.72407268452,23454.9869024307,56341.68526351701,0.8236350929025628,0.9
2011,Dallas,65-74,0,43134.854890530965,27679.52996667585,59297.339011577664,0.7329990821840601,0.9
2012,Dallas,65-74,0,47316.700169338656,34212.36938054572,60675.542670343595,0.5592776587355108,0.9
2013,Dallas,65-74,0,52551.65625668331,40456.67924715423,64416.785756463905,0.4559343742141814,0.9
2014,Dallas,65-74,0,59477.29587635639,45878.59453146827,72968.80701914013,0.4554714885489752,0.9
2015,Dallas,65-74,0,67851.37925734205,52732.48177871736,82017.48169619855,0.4316050791894893,0.9
2016,Dallas,65-74,0,75838.0643647417,61339.41501457812,90307.69552657432,0.3819754730642099,0.9
2017,Dallas,65-74,0,82051.10482901116,69441.2521611603,94480.76999609687,0.3051697827484127,0.9
2018,Dallas,65-74,0,86280.56021568873,72746.76325526972,99707.90337495408,0.3124822098081593,0.9
2019,Dallas,65-74,0,88251.86335839318,69250.32076173174,107708.33956217974,0.4357757143808846,0.9
1999,Dallas,65-74,1,15323.94331675578,5083.853266386401,26767.959945218263,1.4150474346326798,0.9
2000,Dallas,65-74,1,14892,14892,14892,0,0.9
2001,Dallas,65-74,1,17924.796358066087,7508.308793379087,28893.12356654364,1.1930297196119313,0.9
2002,Dallas,65-74,1,20538.747435053883,7343.821422068038,34437.53083443721,1.3191510094782024,0.9
2003,Dallas,65-74,1,23401.912060999355,8731.806801532517,38158.03910294032,1.257428547919737,0.9
2004,Dallas,65-74,1,26099.910663820345,12034.737885337698,40903.990475357125,1.1061054178257377,0.9
2005,Dallas,65-74,1,28616.736626244936,15498.781630374106,41893.88840896948,0.9223660658213534,0.9
2006,Dallas,65-74,1,30903.927201357634,20469.832775375744,41765.70105163782,0.6890990953190743,0.9
2007,Dallas,65-74,1,32863.208908666835,24719.87549442019,41208.442117077146,0.5017333112077352,0.9
2008,Dallas,65-74,1,34451.86592593456,27170.06851123082,41626.57632089548,0.41961465427572503,0.9
2009,Dallas,65-74,1,35700.5738435956,27087.260027200588,44169.18257353533,0.4784775343155752,0.9
2010,Dallas,65-74,1,36994.88678211579,26778.234691695376,46721.38535553836,0.5390785700007596,0.9
2011,Dallas,65-74,1,37939.73085135023,28499.710296549303,47029.64556390664,0.4884044997566945,0.9
2012,Dallas,65-74,1,38956.17914860785,30874.29382776056,46457.04109963974,0.4000070749350184,0.9
