GEOID,Age,Race,pop
48005000600,55-59,BLACK,63
48005000600,55-59,LATINO,25
48005000600,55-59,WHITE,105
48005000600,60-64,API,6
48005000600,60-64,BLACK,53
48005000600,60-64,LATINO,21
48005000600,60-64,WHITE,103
48005000600,65-69,API,2
48005000600,65-69,BLACK,34
48005000600,65-69,LATINO,10
48005000600,65-69,WHITE,126
48005000600,70-74,API,0
48005000600,70-74,BLACK,27
48005000600,70-74,LATINO,10
48005000600,70-74,WHITE,117
48005000600,75-79,API,0
48005000600,75-79,BLACK,27
48005000600,75-79,LATINO,3
48005000600,75-79,WHITE,108
48005000600,80-84,API,0
48005000600,80-84,BLACK,26
48005000600,80-84,LATINO,0
48005000600,80-84,WHITE,89
48005000700,50-54,API,4
48005000700,50-54,BLACK,50
48005000700,50-54,LATINO,30
48005000700,50-54,WHITE,70
48005000700,55-59,API,0
48005000700,55-59,BLACK,39
48005000700,55-59,LATINO,33
48005000700,55-59,WHITE,63
48005000700,60-64,API,0
48005000700,60-64,BLACK,29
48005000700,60-64,LATINO,21
48005000700,60-64,WHITE,46
48005000700,65-69,API,4
48005000700,65-69,BLACK,21
48005000700,65-69,LATINO,19
48005000700,65-69,WHITE,40
48005000700,70-74,API,0
48005000700,70-74,BLACK,28
48005000700,70-74,LATINO,8
48005000700,70-74,WHITE,50
48005000700,75-79,API,0
48005000700,75-79,BLACK,16
48005000700,75-79,LATINO,4
48005000700,75-79,WHITE,49
48005000700,80-84,API,0
48005000700,80-84,BLACK,10
48005000700,80-84,LATINO,3
48005000700,80-84,WHITE,38
48005000800,50-54,API,8
48005000800,50-54,BLACK,31
48005000800,50-54,LATINO,25
48005000800,50-54,WHITE,255
48005000800,55-59,API,10
48005000800,55-59,BLACK,10
48005000800,55-59,LATINO,8
48005000800,55-59,WHITE,224
48005000800,60-64,API,0
48005000800,60-64,BLACK,13
48005000800,60-64,LATINO,4
48005000800,60-64,WHITE,216
48005000800,65-69,API,2
48005000800,65-69,BLACK,6
48005000800,65-69,LATINO,7
48005000800,65-69,WHITE,216
48005000800,70-74,API,0
48005000800,70-74,BLACK,4
48005000800,70-74,LATINO,5
48005000800,70-74,WHITE,215
48005000800,75-79,API,4
48005000800,75-79,BLACK,3
48005000800,75-79,LATINO,1
48005000800,75-79,WHITE,176
48005000800,80-84,API,0
48005000800,80-84,BLACK,3
48005000800,80-84,LATINO,0
48005000800,80-84,WHITE,122
48005000900,50-54,API,44
48005000900,50-54,BLACK,30
48005000900,50-54,LATINO,24
48005000900,50-54,WHITE,539
48005000900,55-59,API,22
48005000900,55-59,BLACK,15
48005000900,55-59,LATINO,11
48005000900,55-59,WHITE,422
48005000900,60-64,API,12
48005000900,60-64,BLACK,18
48005000900,60-64,LATINO,10
48005000900,60-64,WHITE,385
48005000900,65-69,API,4
48005000900,65-69,BLACK,4
48005000900,65-69,LATINO,5
48005000900,65-69,WHITE,328
48005000900,70-74,API,8
48005000900,70-74,BLACK,7
48005000900,70-74,LATINO,9
48005000900,70-74,WHITE,356
48005000900,75-79,API,2
48005000900,75-79,BLACK,2
48005000900,75-79,LATINO,0
48005000900,75-79,WHITE,307
48005000900,80-84,API,0
48005000900,80-84,BLACK,3
48005000900,80-84,LATINO,4
48005000900,80-84,WHITE,198
